condition,seed,subthreshold_mean_response,dt12_response,dt13_response,boundary_increment,long_delay_mean_response,long_vs_subthreshold_ratio,post_threshold_monotonicity,credit_curve_mae,jittered_authority_change,jittered_reversal_recovery,peak_saturation_rate,transfer_stability,temporal_discrimination_score,dependency_precision,dependency_recall,composite
HARD_STEP,26411.5,0.013249236969376334,0.013250719975190799,0.04696361746432682,0.03371289748913602,0.046931899821913724,3.5422387285993175,0.0034650065161494856,6.661338147750939e-18,0.2923202112775894,0.9259747384079638,0.0,0.9959846599009236,0.42248389391896873,1.0,1.0,0.7601482143349919
NO_REPLENISH,26411.5,0.013250027027667538,0.013251503798511815,0.013257847144402932,6.343345891117126e-06,0.013248724166467225,0.9999030717099379,0.0032213847111173728,5.551115123125783e-17,0.008621768170108809,0.9943774351173414,0.0,0.9980651698127843,0.39897369693808904,1.0,1.0,0.47649473826779837
REFRACTORY_TIME,26411.5,0.013252177505762299,0.013253678586743882,0.016505202801374512,0.00325152421463063,0.04619834537611232,3.4860997933572606,0.9114493442757684,1.3433698597964394e-16,0.2919740073231631,1.0,0.0,0.9608754457449038,0.8011945617542121,1.0,1.0,0.8478489428150603
SMOOTH_TIME,26411.5,0.02838189550616314,0.03689858557788834,0.03787654918562868,0.0009779636077403406,0.046702292625668135,1.6454984463367552,0.8170290174116212,1.432187701766452e-16,0.2921785872455486,0.4762306521267638,0.0,0.999805979019265,0.5459862169297459,1.0,1.0,0.608014888741489
