condition,seed,correlated_change,independent_change,independence_selectivity,peak_saturation_rate,reversal_recovery,stable_positive_recovery,authority_dynamic_range,evidence_dynamic_range,reservoir_authority_decoupling,single_phase_stability,transfer_stability,final_authority_mean,composite
DIRECT_LINEAR,26007.5,0.17935086229819724,0.21860067615650922,1.2189223539924963,0.9625,0.8513464647892299,1.0,0.1975329304176222,0.0,0.0,0.28259655080721097,0.9877520622304324,0.8652746477037041,0.5659008463632332
RESERVOIR_CONTRADICTION_DECAY,26007.5,0.1967093303451207,0.12770000349216393,0.6492221728428386,0.0,0.8679305859271161,1.0,0.09869484722621419,1.7294612351456151,1.0,0.21316267861951724,0.9766152812338313,0.8211722490616103,0.7410713655757488
RESERVOIR_LEAKY,26007.5,0.1966685944720808,0.12773527942905513,0.6495364678201119,0.0,0.6501680574439885,0.999998099117789,0.17586333171846064,1.8717733452688146,1.0,0.21332562211167683,0.9766152812338313,0.7899033333689094,0.7315062762833721
RESERVOIR_NO_FORGET,26007.5,0.203165361270084,0.12570936431707833,0.6187952115745055,0.0,0.43278558487100327,0.9796173997527847,0.3005731939005388,2.3362132709805254,0.9504336862023886,0.18733855491966406,0.9761713790834091,0.7392341730676911,0.7178181124417873
SATURATION_AWARE,26007.5,0.16369802871623423,0.1437605829325068,0.8782450431774009,0.0,0.441630284251586,0.9643933215644326,0.29693382125949075,0.0,0.0,0.345207885135063,0.984174387858724,0.6953963622486451,0.5986392376065344
