condition,seed,selective_revision_f1,false_revision_rate,authority_retention_when_supported,authority_reduction_when_challenged,final_authority,behavioral_revision_causality,role_swap_consistency,long_horizon_consistency,transfer_stability,reward_capture_rate,common_good_proxy,composite
COHERENCE,24809.5,0.2996768927205812,0.0017893458308257892,0.2540940333673568,0.25197568196895326,0.2539419721225992,0.32172222222222224,0.858388888888889,0.9171666666666667,0.9653333333333333,0.0,0.6896934216390577,0.6518125143006877
COMBINED,24809.5,0.7063527774086031,0.005707743850411566,0.2514210736773926,0.25011348291787056,0.25137815908374284,0.3218333333333333,0.8581666666666667,0.9170555555555555,0.9653333333333333,0.0,0.6896668061428151,0.7244415589434811
CONTRADICTION,24809.5,0.6860696153586983,0.5747144774536792,0.2517289192581758,0.25002620774407247,0.2514705927723498,0.3217777777777778,0.8582222222222222,0.9171111111111111,0.9653333333333333,0.0,0.6896764156484437,0.6525542187372901
LONG_HORIZON,24809.5,0.42472716164138163,0.0002647822693219203,0.253072452291378,0.25078821927413375,0.25351794309086273,0.3216111111111111,0.8584444444444446,0.9172777777777779,0.9648888888888889,0.0,0.689721525153898,0.6744902814492161
RAW,24809.5,0.6838072712112899,0.5881545482443452,0.25049438764741605,0.25,0.25066468591707103,0.3218333333333333,0.8581666666666667,0.9170555555555555,0.9653333333333333,0.0,0.6896668061428151,0.6504084309894821
