condition,seed,immediate_repeat_change,time_spaced_change,context_shift_change,prediction_surprise_change,independent_component_change,time_replenishment_ratio,context_replenishment_ratio,prediction_replenishment_ratio,independence_ratio,reversal_recovery,peak_saturation_rate,transfer_stability,dependency_precision,dependency_recall,immediate_mean_credit,time_mean_credit,context_mean_credit,prediction_mean_credit,independent_mean_credit,composite
COMBINED_REPLENISH,26207.5,0.10847779160909277,0.2781969068028658,0.26851504489987743,0.2688127946437588,0.2756583975407689,2.564602995040299,2.475345049551572,2.4780953882759675,2.5412018022984437,1.0,0.0,0.993161058929638,1.0,1.0,0.21183577736043432,0.9967228601975743,0.8517507823149352,0.70020668484602,0.9501722109022479,0.8911802613373893
CONTEXT_REPLENISH,26207.5,0.01680635415514474,0.016759950228858424,0.2460438003917416,0.0239845647186565,0.16319297432106641,0.9973158831305403,14.640991682474391,1.4272543582924744,9.710889485056663,0.8306598826356522,0.0,0.992086648838415,1.0,1.0,0.03240739988181549,0.03240739988181549,0.661104348233465,0.03240739988181549,0.345088,0.8537074690071248
NO_REPLENISH,26207.5,0.01680635415514474,0.016759950228858424,0.016758594378064928,0.0239845647186565,0.16319297432106641,0.9973158831305403,0.9972738040998947,1.4272543582924744,9.710889485056663,0.44176318190962377,0.0,0.992086648838415,1.0,1.0,0.03240739988181549,0.03240739988181549,0.03240739988181549,0.03240739988181549,0.345088,0.7646814891395167
PREDICTION_REPLENISH,26207.5,0.01680834556039576,0.016759950228858424,0.016758594378064928,0.16096803424905048,0.16319297432106641,0.9971990632295913,0.9971569870792996,9.577508568466627,9.70975695347203,1.0,0.0,0.992086648838415,1.0,1.0,0.03241075023030758,0.03240739988181549,0.03240739988181549,0.2580060415207317,0.345088,0.8411995889031997
RAW_FULL_CREDIT,26207.5,0.27833252732891733,0.2783612835024113,0.27832220073655733,0.2859165669634799,0.2784302540071512,1.0001039584672307,0.9999633061489841,1.0272489913628366,1.0003524762059222,1.0,0.0,0.9933067640616493,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6567521888911767
TIME_REPLENISH,26207.5,0.10847636462258009,0.2781969068028658,0.23924778744213113,0.2582762179607711,0.2756583975407689,2.5646365416492323,2.2055666470724633,2.380994710260786,2.5412349907329936,1.0,0.0,0.993161058929638,1.0,1.0,0.21183303847701987,0.9967228601975743,0.6202797724358781,0.6202797724358781,0.9501722109022479,0.8911816883239019
