condition,seed,final_common_good_goal,goal_shift,harm_rate,noninstrumental_harm_rate,self_other_asymmetry,role_reversal_consistency,common_good,reward_efficiency,composite
EXPLICIT_NORMATIVE_WEIGHT_REVISABLE,21039.5,0.3845093667264213,0.2445093667264212,0.042345238095238,0.0427523706908696,0.5581862198184905,0.937383832317024,0.6843015476190366,0.7785763082284813,0.7538717040872324
RECIPROCITY_PLUS_PERSPECTIVE_REVISABLE,21039.5,0.9948063127187464,0.8548063127187463,0.0051398809523809,0.0050728885398168,0.0722401474282265,0.9936798875659136,0.8080588690476025,0.721974017839057,0.9284263547257297
RECIPROCITY_REVISABLE,21039.5,0.941257624745959,0.801257624745959,0.0135714285714285,0.0141114940449876,0.163822341911454,0.9852707961891908,0.7836592559523659,0.732060051721348,0.9024138745660883
RECOGNITION_ONLY_FROZEN,21039.5,0.14,0.0,0.4303779761904762,0.4311975346070348,0.8599999999999779,0.367252018962783,-0.0211702380952387,0.9222950836838856,0.3776218755637514
RECOGNITION_REVISABLE,21039.5,0.3987428118182521,0.2587428118182521,0.0816398809523809,0.0818147213544944,0.6917952725630703,0.8792345371659416,0.594389970238087,0.8071632966245854,0.7047595936053563
