world,delta,L,selected_scale,oracle_scale,pred8,pred18,pred128,err8,err18,err128
STATIONARY,0.0,128,18,128,0.20998277956369932,0.1618766002534429,0.2199120004300465,0.08,0.08,0.04
STATIONARY,0.0,128,18,128,0.18822642899836659,0.15175758704674333,0.18827354062273793,0.16,0.18,0.06
STATIONARY,0.0,128,18,128,0.20138749795001856,0.1718567204779926,0.19143270764861314,0.18,0.16,0.04
STATIONARY,0.0,128,18,8,0.17392479060831567,0.14809204621375016,0.17863128046974192,0.0,0.0,0.04
STATIONARY,0.0,128,18,8,0.24280029299263284,0.2072331078001891,0.21293496902093234,0.0,0.02,0.02
STATIONARY,0.0,128,18,8,0.20028935657648636,0.16620995208120057,0.1781058673972152,0.04,0.04,0.04
STATIONARY,0.0,128,18,128,0.17920057323709768,0.1544367398394773,0.19745853324957846,0.36,0.32,0.06
STATIONARY,0.0,128,18,128,0.20671490978577928,0.16816701739889636,0.2380018242859301,0.5,0.48,0.16
SINGLE_SHIFT,0.3,2,18,8,0.17895315023991318,0.16706433959501288,0.19112482903212488,0.06,0.08,0.08
SINGLE_SHIFT,0.3,2,128,18,0.3250879529944994,0.24984000561833036,0.24225876125317145,0.62,0.42,0.5
SINGLE_SHIFT,0.3,2,18,8,0.18261162305097173,0.16521636866232695,0.1868115688409561,0.04,0.04,0.06
SINGLE_SHIFT,0.3,2,18,8,0.1853990612252663,0.15940441572686825,0.18913116342238,0.14,0.14,0.32
SINGLE_SHIFT,0.3,2,18,8,0.21163967125992983,0.1677270708695089,0.2216946449261296,0.04,0.04,0.04
SINGLE_SHIFT,0.3,2,18,8,0.18198360144407635,0.15981587205482217,0.16216778474105034,0.3,0.34,0.3
SINGLE_SHIFT,0.3,2,18,18,0.18178564623571525,0.13710956412450429,0.23904617738102288,0.04,0.0,0.1
SINGLE_SHIFT,0.3,2,18,128,0.16667471101152737,0.15507933432340773,0.16233855398661648,0.5,0.38,0.36
SINGLE_SHIFT,0.3,4,18,8,0.20449903784467496,0.16311061838826268,0.21487124352818915,0.06,0.06,0.08
SINGLE_SHIFT,0.3,4,128,8,0.2341176933270522,0.21777752943216772,0.2172379029100009,0.42,0.72,0.58
SINGLE_SHIFT,0.3,4,18,8,0.1737562247884202,0.16217798180277218,0.17567193026867817,0.04,0.06,0.04
SINGLE_SHIFT,0.3,4,18,18,0.24521310722842432,0.1856140696400024,0.21370844588457924,0.5,0.02,0.5
SINGLE_SHIFT,0.3,4,18,8,0.22559971324886807,0.16495312430197642,0.26813374779054266,0.02,0.02,0.04
SINGLE_SHIFT,0.3,4,8,8,0.17090165234610363,0.21462996374905888,0.22027312107505645,0.04,0.3,0.26
SINGLE_SHIFT,0.3,4,18,8,0.17866309350208592,0.16382207749455505,0.17996462072926256,0.1,0.14,0.1
SINGLE_SHIFT,0.3,4,18,8,0.23517362052028368,0.21296754340207144,0.2535295291743354,0.12,0.22,0.34
SINGLE_SHIFT,0.3,6,18,8,0.18234375017912105,0.14251807169208405,0.22612404636844047,0.06,0.06,0.08
SINGLE_SHIFT,0.3,6,18,18,0.18363643964509943,0.1576650384488186,0.1606440676414362,0.64,0.6,0.64
SINGLE_SHIFT,0.3,6,18,8,0.20443049625320647,0.17870522892941443,0.17915513858830528,0.04,0.04,0.04
SINGLE_SHIFT,0.3,6,18,8,0.1638287459021967,0.1614189920798728,0.23508703378070353,0.0,0.22,0.56
SINGLE_SHIFT,0.3,6,18,8,0.17583775916008873,0.1594447321122646,0.19330268166202938,0.02,0.04,0.04
SINGLE_SHIFT,0.3,6,18,18,0.1956153127235644,0.14772192202523185,0.22041492689096873,0.12,0.04,0.3
SINGLE_SHIFT,0.3,6,8,8,0.17657454958057947,0.1851524043721771,0.20823607146032727,0.1,0.1,0.1
SINGLE_SHIFT,0.3,6,8,8,0.17164844326462195,0.17616749856162633,0.1820602115838236,0.18,0.36,0.3
SINGLE_SHIFT,0.3,8,8,18,0.1847769326360676,0.1896439408492526,0.2801445151544443,0.26,0.06,0.08
