condition,seed,correlated_change,independent_change,independence_selectivity,peak_saturation_rate,reversal_recovery,stable_positive_recovery,new_component_use_rate,repeat_discount_score,transfer_stability,final_authority_mean,composite
DIRECT_LINEAR,26107.5,0.17900290188076234,0.2188055853433545,1.2225175621581368,0.95625,0.8535767124624525,1.0,0.0,1.0,0.9880643679146744,0.8699200420515015,0.5432757831271995
RESERVOIR_LEAKY,26107.5,0.19627201386838572,0.12784738665806875,0.6515751137397604,0.0,0.6480126230779564,0.9991770964343708,0.017094017094017096,0.017094017094017144,0.9701770466420131,0.7917552382112857,0.48518913843645156
TEMPORAL_PROVENANCE_CONTRADICTION_DECAY,26107.5,0.04490496374797273,0.06193663134242067,1.379412330478116,0.0,0.6633595445750882,0.9887427729045873,0.017094017094017096,0.017094017094017144,0.9949262486215953,0.6125067136538697,0.598796479469201
TEMPORAL_PROVENANCE_RESERVOIR,26107.5,0.04027416374416534,0.06272004959747311,1.5575950347230674,0.0,0.5625178281034492,0.9617690751625875,0.017094017094017096,0.017094017094017144,0.994398605639731,0.604264593350486,0.6000193052248597
