signal,AUC,AP,top10_precision,top20_recall,base_rate
RISK_ADVANTAGE,0.5638300341724993,0.02331738852050161,0.026801801801801802,0.30992592592592594,0.01900337837837838
SCALE_DISAGREEMENT,0.5260915482852633,0.019491895492785294,0.010641891891891892,0.1348148148148148,0.01900337837837838
DECISION_MARGIN,0.8231022234977121,0.080350873858894,0.08992117117117117,0.6802962962962963,0.01900337837837838
COUNTERFACTUAL_SWITCH_PROBABILITY,0.9287830904056589,0.3179922122442349,0.16086711711711713,0.9291851851851852,0.01900337837837838
