model,seed,irreversible_recall,violation_rate,trap_capture_rate,trajectory_value,adaptation_after_shift,calibration_error,reorg_count,composite
GEN26_ALL,20229.5,0.7734226892887599,0.3826825173473883,0.2430729469408793,0.5780499055555484,0.0326629629629629,0.3905629623288632,83.93055555555556,0.665147107423452
PTVM,20229.5,0.8722193676154103,0.3027167918823993,0.2494172753761415,0.6543655185185037,0.1147185185185185,0.3146284927527811,0.0,0.7341896937717375
PTVM_plus_DEP,20229.5,0.8238141393446615,0.3414878056799506,0.305240709769754,0.6061386629629474,0.0842796296296296,0.3916576804610178,0.0,0.6871602883096336
PTVM_plus_DPD,20229.5,0.9169381291311942,0.2671749789405507,0.1968885431350261,0.6966755925925769,0.0242907407407407,0.2430358027576981,86.90555555555555,0.7742141447676197
PTVM_plus_EPM,20229.5,0.6006782186688259,0.5207881315788829,0.3278612559135274,0.4356448185185119,-0.0028907407407407,0.4747169915691393,0.0,0.5333257469230632
PTVM_plus_LR,20229.5,0.8750192659934333,0.3005097410777657,0.2472529009979682,0.6559543111110961,0.1166444444444444,0.3144364749200432,0.0,0.7362328913635285
PTVM_plus_MC,20229.5,0.8732745505104338,0.3022603015936271,0.1462482297671062,0.6724146944444367,0.1264074074074074,0.2387137699885204,0.0,0.7586551951030853
PTVM_plus_PLM,20229.5,0.8955134469660306,0.2840223024326165,0.222167246121315,0.6775739074073931,0.1197444444444444,0.292359270820644,0.0,0.7559075386250564
