condition,seed,single_shock_authority_change,persistent_negative_authority_drop,persistent_pattern_sensitivity,false_pattern_event_rate,pattern_event_precision,recovery_fraction,saturation_rate,transfer_stability,authority_stability,event_efficiency,baseline_events,shock_events,persistent_events,recovery_events,final_authority_mean,composite
CONTINUOUS_PATTERN,25311.5,0.02410286458333333,0.3336028645833333,0.7571050347222222,0.05065104166666667,0.9480400447876112,0.8164311611557636,0.6614583333333334,0.76451171875,0.8492239583333333,0.08032046564667585,20.916666666666668,11.5,329.375,251.375,0.7582792968750001,0.7516482341136754
HYSTERESIS_EVENT,25311.5,0.004962890625000002,0.0664225260416667,0.22140842013888898,0.005989583333333333,0.9028607402257963,0.6863873639264263,0.0,0.963583984375,0.9701796874999999,0.18407087872485325,2.3333333333333335,1.5,19.5,15.583333333333334,0.582275390625,0.6648689705536046
HYSTERESIS_REFRACTORY,25311.5,0.004819661458333335,0.0582584635416667,0.19419487847222236,0.005533854166666667,0.9008972113420007,0.7098465653153152,0.0,0.9628678385416666,0.9735312500000001,0.18151888079161171,2.0833333333333335,1.4583333333333333,17.125,14.541666666666666,0.5862858072916667,0.6597724917268963
ONSET_EVENT,25311.5,0.006452473958333334,0.07462955729166669,0.2487651909722223,0.009244791666666667,0.8679612803555612,0.7150059701971707,0.0,0.9623665364583333,0.9503854166666666,0.18878863575884655,3.9583333333333335,1.9583333333333333,21.916666666666668,16.958333333333332,0.5808502604166667,0.66839738735827
