condition,seed,final_integration,final_common_good_goal,goal_shift_to_common_good,harm_rate,noninstrumental_harm_rate,common_good,reward_efficiency,destructive_goal_persistence,harmful_choice_rate,composite
HIGH_INTEGRATION_FROZEN_ENDS,20939.5,0.9199999999999946,0.12,0.0,0.2321875,0.3229480409839058,-0.0492032738095205,0.9910695534866114,0.8800000000000001,0.9348511904761904,0.5596741204687307
HIGH_INTEGRATION_REVISABLE_ENDS,20939.5,0.9199999999999946,0.2991297674242902,0.1791297674242901,0.0685684523809523,0.0958710976338464,0.250811041666675,0.9243993212942906,0.7008702325757098,0.7121458333333333,0.7067355406807383
HIGH_INTEGRATION_REVISABLE_PLUS_PERSPECTIVE,20939.5,0.9199999999999946,0.784806648342289,0.664806648342289,0.014860119047619,0.0210707573065141,0.4640797619047758,0.8098041449613295,0.215193351657711,0.3288035714285714,0.8231192113999745
HIGH_INTEGRATION_WEAK_PERMEABILITY,20939.5,0.9199999999999946,0.1958236659484289,0.075823665948429,0.1737410714285714,0.2412430573219168,0.0563289285714296,0.9685230316630312,0.804176334051571,0.859720238095238,0.6138441385651434
LOW_INTEGRATION_FROZEN_ENDS,20939.5,0.5799995698615541,0.12,0.0,0.250235119047619,0.3477996416483822,-0.0629963690476155,0.9830504429757714,0.8800000000000001,0.9072559523809524,0.5000783240616313
