policy,median_first_identified_strong,false_identification_rate,final_identified_false_rate,median_revocation_delay,mean_wrong_full_rate,mean_identified_rate,mean_unknown_rate,mean_provisional_rate,mean_cost,mean_state_changes
SNAPSHOT_DECISION_THEORETIC,18.0,0.03819444444444445,0.0,4.0,0.0016396604938271606,0.008391203703703703,0.0,0.9916087962962964,0.220931712962963,0.11284722222222222
REPEATED_POSTERIOR,8.0,0.7881944444444444,0.5601851851851852,5.0,0.07262731481481481,0.36332947530864196,0.001060956790123457,0.6356095679012346,0.2374209104938272,1.2994791666666667
INCREMENTAL_EVIDENCE,18.0,0.009259259259259259,0.0,4.0,0.00038580246913580245,0.0031828703703703706,0.0,0.9968171296296295,0.22055844907407407,0.05295138888888889
