condition,seed,supported_operational_authority,challenged_operational_authority,supported_reflective_authority,challenged_reflective_authority,supported_consolidated_authority,challenged_consolidated_authority,reflective_discrimination,consolidated_discrimination,one_shock_overreaction,sustained_shift_adaptation,authority_stability,reversal_recovery,saturation_rate,transfer_stability,final_reflective_authority,final_consolidated_authority,composite
DIRECT_UPDATE,25111.5,0.5546082978229422,0.5142326653111412,0.5546082978229422,0.5142326653111412,0.5546082978229422,0.5142326653111412,0.04037563251180108,0.04037563251180108,0.006391800252612234,0.6072493941644297,0.8511762291943774,0.8574887853198131,0.028520833333333332,0.9186496058541199,0.6096728169089434,0.6096728169089434,0.7169548352186702
THREE_TIMESCALE,25111.5,0.6321457041031846,0.5564058443714054,0.5913529811838363,0.5972670331061992,0.5999999999999999,0.5999999999999999,-0.005914051922362991,2.312964634635743e-17,0.0,0.03031543074409465,1.0,0.011574074074074075,0.0006458333333333333,0.9970038434962419,0.5867519556707996,0.6,0.5371889437261221
THREE_TIMESCALE_REVERSIBLE,25111.5,0.6321457041031846,0.5564058443714054,0.5913529811838363,0.5972670331061992,0.5999999999999999,0.5999999999999999,-0.005914051922362991,2.312964634635743e-17,0.0,0.03031543074409465,1.0,0.011574074074074075,0.0006458333333333333,0.9970038434962419,0.5867519556707996,0.6,0.5371889437261221
TWO_TIMESCALE,25111.5,0.6321457041031846,0.5564058443714054,0.5913529811838363,0.5972670331061992,0.5913529811838363,0.5972670331061992,-0.005914051922362991,-0.005914051922362991,0.0,0.03031543074409465,1.0,0.011574074074074075,0.0006458333333333333,0.9970038434962419,0.5867519556707996,0.5867519556707996,0.5351612687813119
