condition,authority_cost,wrong_full_rate,unknown_rate,provisional_rate,identified_rate
RELATIVE_ONLY,0.2938006756756757,0.23465653153153154,0.0,0.2236768018018018,0.7763231981981982
IN_SAMPLE_ADEQUACY,0.29360360360360366,0.227759009009009,0.030827702702702704,0.21396396396396397,0.7552083333333334
PREQUENTIAL_ADEQUACY,0.3012682995495495,0.1776463963963964,0.30532094594594594,0.12753378378378377,0.5671452702702703
