condition,seed,final_common_good_goal,goal_shift,harm_rate_reciprocal,harm_rate_nonreciprocal,harm_rate_costly_nonreciprocal,role_reversal_consistency,reward_efficiency,common_good,composite
EXPECTED_RECIPROCITY_REVISABLE,21139.5,0.267381538934732,0.1273815389347319,0.0,0.154323039572895,0.4828673726262866,0.6987993490594185,0.8817438057795604,0.4100360555555523,0.681716689087662
RECOGNITION_REVISABLE,21139.5,0.4083075674042251,0.2683075674042251,0.0717208678645328,0.0691813435291099,0.1818861775820857,0.8465848473973686,0.7813688411162001,0.5663761388888816,0.7970402847689215
ROLE_SYMMETRY_FROZEN,21139.5,0.14,0.0,0.1927212827195194,0.1901514299029884,0.4112695997556379,0.7816166907114254,0.8442560419840213,0.2888993333333274,0.6403380302823342
ROLE_SYMMETRY_PLUS_PERSPECTIVE_REVISABLE,21139.5,0.991496745640263,0.851496745640263,0.0044620760481889,0.0046156418879532,0.025868634163531,0.986059813804768,0.6867879279725818,0.7990399166666495,0.9450805264572212
ROLE_SYMMETRY_REVISABLE,21139.5,0.916615655309173,0.776615655309173,0.0156070863819553,0.0154294908915115,0.0544072917663744,0.9704114578500964,0.7075005353525017,0.7550294722222071,0.9223542172948984
