condition,seed,probe_rate,probe_precision,transform_rate,transform_precision,high_stakes_protection_rate,reward_efficiency,common_good,composite,interaction_effect_common_good,interaction_effect_composite
NO_PROBE_NO_TRANSFORM,23319.5,0.0,0.0,0.0,0.0,0.1432839107192521,0.83853205059379,0.1199761111111129,0.4123723949553663,-0.0224549305555527,-0.0082168680762916
PROBE_ONLY,23319.5,0.3013055555555556,0.7036086496373087,0.0,0.0,0.1580836030181264,0.8178054326877238,0.1796797222222237,0.4575293267142245,-0.0224549305555527,-0.0082168680762916
PROBE_PLUS_TRANSFORM,23319.5,0.2975,0.7043435291864697,0.1629722222222222,0.9999127733228964,0.5886157393811681,0.798787384507478,0.4192076388888976,0.6754025061285964,-0.0224549305555527,-0.0082168680762916
TRANSFORM_ONLY,23319.5,0.0,0.0,0.1698819444444444,0.9998342878414868,0.6026462298138247,0.8145297908370204,0.3819589583333395,0.6384624424460299,-0.0224549305555527,-0.0082168680762916
