policy,overall_error,stationary_error,shift_error,pulse_error,local_rate,meso_rate,global_rate
FIXED_MESO18,0.1014602102102102,0.04791666666666667,0.11943415637860082,0.053487654320987656,0.0,1.0,0.0
V393_HISTORY_ONLY,0.09902777777777778,0.08986111111111111,0.10207304526748971,0.09091049382716049,0.43085585585585584,0.511936936936937,0.057207207207207206
V394_ACTION_CONDITIONAL,0.09027777777777778,0.056805555555555554,0.10199074074074074,0.05885802469135802,0.37261636636636636,0.4525337837837838,0.17484984984984986
ORACLE_PER_DECISION_SCALE,0.045157657657657654,0.006666666666666667,0.05881687242798354,0.00845679012345679,0.032293543543543544,0.9436974474474474,0.02400900900900901
