condition,seed,immediate_repeat_change,time_spaced_change,time_replenishment_ratio,context_shift_change,prediction_surprise_change,independent_component_change,independence_ratio,reversal_recovery,peak_saturation_rate,transfer_stability,dependency_precision,dependency_recall,composite
COMBINED_REPLENISH,26307.5,0.10873607752936015,0.27842335367853854,2.5605951576559702,0.2686785667819512,0.2689093150256148,0.27561002619618863,2.5347236118132415,1.0,0.0,0.9904686237578233,1.0,1.0,0.8200264650311399
NO_REPLENISH,26307.5,0.01684977848781609,0.0168082417638755,0.9977056051980809,0.016801757999144754,0.023969008386347343,0.16288639233613106,9.66798962310521,0.44194644582705594,0.0,0.9909001139537161,1.0,1.0,0.6576666806573113
REFRACTORY_COMBINED,26307.5,0.0480749686391006,0.2783349122484739,5.7904072809416185,0.24625590418452922,0.16143301141907132,0.2663168049438604,5.54038007905673,1.0,0.0,0.9904383548659292,1.0,1.0,0.9264813044575418
REFRACTORY_TIME,26307.5,0.0480749686391006,0.2783349122484739,5.7904072809416185,0.016801757999144754,0.023969008386347343,0.2663154740171716,5.540352492630736,1.0,0.0,0.9904147348890844,1.0,1.0,0.9264798872589312
TIME_REPLENISH,26307.5,0.10873607752936015,0.27842335367853854,2.5605951576559702,0.2394712424400677,0.25837120295636995,0.2756097822362777,2.534721370513345,1.0,0.0,0.9904622336132967,1.0,1.0,0.8200260069124717
