condition,seed,effective_count_mae,authority_oracle_mae,weak_common_overcount,spurious_corr_undercount,shift_count_mae,unseen_count_mae,dependency_precision,dependency_recall,transfer_stability,saturation_rate,composite,oracle_gap
ONLINE_RESIDUAL_DEPENDENCY,25811.5,0.1880787037037037,0.012884077866854691,0.0,0.0,0.7523148148148148,0.0,0.8455128205128205,0.8470123626373627,0.9769170093773308,0.2916666666666667,0.902012629003424,0.08173366058843223
ORACLE_DEPENDENCY,25811.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9761374703598545,0.2916666666666667,0.9837462895918563,0.0
RAW_COUNTING,25811.5,3.085821759259259,0.06991550143448842,4.176620370370371,0.0,4.173611111111112,2.6550925925925926,0.0,0.0,0.9862451431990865,0.9986979166666666,0.24921090520340336,0.7345353843884529
RESIDUALIZED_COVARIANCE,25811.5,0.5377893518518518,0.018878775850345184,0.0,0.0,0.7523148148148148,1.3988425925925927,0.8455128205128205,0.7345991681929182,0.980650779464387,0.4986979166666667,0.7996844060180462,0.18406188357381004
STATIC_COVARIANCE,25811.5,0.6913194444444444,0.024829094722574052,0.0,2.3004629629629627,0.0020833333333333333,0.4627314814814815,0.20110836184424893,0.8852401938339439,0.9747547267555543,0.037760416666666664,0.7348212393743109,0.2489250502175454
