condition,seed,credit_mae_vs_oracle,sparse_credit_mae,decision_credit_mae,probe_bundles_per_process,probe_observations_per_process,probe_decision_change_rate,probe_useful_change_rate,posterior_sd_reduction,boundary_error,premature_recharge_error,missed_recharge_error,net_value,transfer_stability,composite,oracle_gap
DECISION_BOUNDARY_PROBE,26811.5,0.036906764426218874,0.045670148542404206,0.04715371875617399,7.354166666666667,22.0625,0.13957042372418454,0.566991208246899,0.011217197695704442,0.04715371875617399,0.015738044811274703,0.01713874959274977,0.5948411778689057,0.7035088436169546,0.7097964484772948,0.13020355152270513
FIXED_EXTRA_OBS,26811.5,0.04072192800001103,0.053450727000505315,0.05239633479792028,4.0,12.0,0.0,0.0,0.01582048685155646,0.05239633479792028,0.01972031500458434,0.017673614662551025,0.6763903599999449,0.6368559964223964,0.6276141442334954,0.2123858557665046
NO_PROBE,26811.5,0.05901572879553104,0.0915873993066294,0.07459597841869328,0.0,0.0,0.0,0.0,0.0,0.07459597841869328,0.038731770394790296,0.030058684287340976,0.7049213560223447,0.5001087149210682,0.5332563590987441,0.30674364090125583
ORACLE_TIMESCALE,26811.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.84,0.0
UNCERTAINTY_TRIGGERED_PROBE,26811.5,0.046866627972206004,0.06339256856064343,0.05981759924634399,0.75,2.25,0.3680555555555556,0.6666666666666666,0.048937856532843015,0.05981759924634399,0.02576259174433068,0.023838062679352567,0.7431668601389699,0.5785212566269919,0.7076488328452214,0.13235116715477857
