condition,seed,all_scale_mae,sparse_scale_mae,dense_scale_mae,all_credit_mae,sparse_credit_mae,dense_credit_mae,authority_mae_vs_oracle,sparse_authority_mae,premature_recharge_error,missed_recharge_error,posterior_90pct_coverage,reversal_recovery,peak_saturation_rate,transfer_stability,dependency_precision,dependency_recall,global_scale_hat,composite,oracle_gap
CONFIDENCE_GATED,26711.5,0.3219973948300139,0.6708238970647824,0.11000826660627654,0.10135282574182984,0.21082113666415223,0.03136823335289108,0.014445978508655305,0.03442832726773308,0.010483985452904021,0.1947579275573762,0.8958333333333334,1.0,0.0,0.7323613351838801,1.0,1.0,1.7540645654455105,0.5995684044041355,0.39956349562096527
DISTRIBUTIONAL_TIMESCALE,26711.5,0.3219973948300139,0.6708238970647824,0.11000826660627654,0.046719813501978964,0.08852295418636309,0.02004192466077002,0.004885625017738051,0.007636621587969713,0.030225268697499568,0.014602335965051458,0.8958333333333334,1.0,0.0,0.9439164322850319,1.0,1.0,1.7540645654455105,0.8416773159637022,0.15745458406139856
GLOBAL_SHRINKAGE,26711.5,0.3219973948300139,0.6708238970647824,0.11000826660627654,0.1657972576910784,0.3458666787644769,0.04797282346627959,0.02245709164746511,0.05281719498723753,0.12411165864787632,0.09588315299508422,0.8958333333333334,0.9906078374260722,0.0,0.6417328871134994,1.0,1.0,1.7540645654455105,0.4570903066060752,0.5420415934190256
ORACLE_TIMESCALE,26711.5,0.3219973948300139,0.6708238970647824,0.11000826660627654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8958333333333334,1.0,0.0,0.9826380005020137,1.0,1.0,1.7540645654455105,0.9991319000251008,0.0
POINT_ESTIMATE,26711.5,0.3219973948300139,0.6708238970647824,0.11000826660627654,0.04364572729168852,0.07931123034573638,0.019651482243596596,0.005789530310094128,0.009397987600888395,0.016569884345680738,0.009616649644150167,0.8958333333333334,1.0,0.0,0.9325715407772863,1.0,1.0,1.7540645654455105,0.8594962412562611,0.13963565876883965
