condition,seed,unjustified_self_privilege_gap,symmetric_harm_rate,justified_asymmetry_accuracy,false_asymmetry_rate,self_continuity_accuracy,overcorrection_rate,role_swap_consistency,probe_rate,overall_harm_rate,common_good,reward_efficiency,composite
CONTEXTUAL_BINARY,21439.5,0.0288378233585113,0.0392918086353986,0.855600962126772,0.2402404482105089,0.5273806835629483,0.4726193164370517,0.7582270780456446,0.0,0.0329557291666666,0.7170384114583221,0.8097910852348755,0.7989136604365104
PURE_ROLE_SYMMETRY,21439.5,0.0,0.0,0.8249986497443155,0.0,0.2790064413904091,0.7209935586095908,1.0,0.0,0.0,0.7793726562499884,0.7921374570096018,0.8059021768162609
RELEVANCE_TRIAGE,21439.5,0.0012556815285817,0.0018593023880945,0.8742745828742269,0.0101957124865546,0.4871243997834038,0.5128756002165962,0.989800032339135,0.0,0.001453125,0.7703072916666571,0.8005842967797923,0.8536288618963971
RELEVANCE_TRIAGE_WITH_PROBE,21439.5,0.0013312092520656,0.0019666395773382,0.897908851975107,0.0107846067072258,0.5848339869074679,0.4151660130925321,0.9892213222792112,0.3517135416666667,0.001546875,0.7670223958333248,0.7938609129667442,0.8769206878320575
SELF_PRIVILEGE_BASE,21439.5,0.580000000000016,0.72066752741094,0.4552066538554015,0.0,1.0,0.0,0.0,0.0,0.6046145833333333,-0.2413388020833337,0.9650147175163808,0.5413928367057205
