condition,overall_mae,overall_error,shift_error,stationary_global_rate,recent_local_rate,pulse_global_rate,exact_scale_match,within_one_scale,authority_cost,wrong_full_rate,unknown_rate,provisional_rate,identified_rate
COARSE_RELATIVE,0.24903894347527789,0.1817426801801802,0.22058256172839505,0.984375,0.2612847222222222,0.9346064814814815,0.14301801801801803,0.3009572072072072,0.32093327702702706,0.24127252252252251,0.04997184684684685,0.26083896396396394,0.6891891891891891
FINE_RELATIVE,0.25350250349140213,0.1806517454954955,0.21727430555555555,0.9895833333333334,0.2287326388888889,0.9189814814814815,0.15273085585585586,0.30011261261261263,0.32555743243243246,0.22663288288288289,0.11162725225225226,0.26717342342342343,0.6211993243243243
COARSE_ABSOLUTE,0.24903894347527789,0.1817426801801802,0.22058256172839505,0.984375,0.2612847222222222,0.9346064814814815,0.14301801801801803,0.3009572072072072,0.3215371621621622,0.23338963963963963,0.08741554054054054,0.24929617117117117,0.6632882882882883
FINE_ABSOLUTE,0.25350250349140213,0.1806517454954955,0.21727430555555555,0.9895833333333334,0.2287326388888889,0.9189814814814815,0.15273085585585586,0.30011261261261263,0.3240202702702703,0.21945382882882883,0.13823198198198197,0.2574605855855856,0.6043074324324325
