condition,seed,self_carrier_preservation_accuracy,other_carrier_preservation_accuracy,carrier_invariance_gap,false_self_priority_rate,both_critical_balance_accuracy,no_critical_symmetry_accuracy,probe_rate,reward_efficiency,common_good,composite
FUNCTION_SENSITIVE,21639.5,0.7928989214607589,0.9998795760462578,0.2069806545854988,0.0023811988072965,0.6933829263846999,1.0,0.0,0.7922818256954226,0.6922519230769233,0.8633811637434909
FUNCTION_SENSITIVE_WITH_PROBE,21639.5,0.8219341607482937,1.0,0.1780658392517063,0.0024943889043866,0.7093321835813049,1.0,0.3231177884615385,0.7822269144237868,0.705534134615385,0.861819635405956
PURE_ROLE_SYMMETRY,21639.5,0.0032197886742908,0.996840823438604,0.9936210347643132,0.0031059322710185,1.0,1.0,0.0,0.7459128150554469,0.4101509615384799,0.6159048011501929
SELF_IDENTITY_PRIORITY,21639.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9849877135707162,-0.0338533653846171,0.2735767429732715
