condition,seed,goal_awareness,goal_authority_separation,authority_revision,authority_goal_decoupling,counterfactual_self_accuracy,behavioral_revision_causality,role_swap_consistency,reward_capture_rate,long_horizon_consistency,transfer_stability,common_good_proxy,final_goal_value,final_authority,composite
EXPLICIT_GOAL,24715.5,0.4569977065598729,0.7894965069136538,0.7496594976868234,0.5497786734964352,0.9876605902777778,0.5034027777777778,0.8654861111111111,0.0,0.9188888888888888,0.9803472222222224,0.6969326587793366,1.1998808241903882,0.2503405023131766,0.7652425161298253
FUSED,24715.5,0.4459233818365161,0.7501398763779636,0.75,0.5001872762722471,0.9820138888888889,0.5025347222222222,0.8667534722222222,0.0,0.9197569444444444,0.9802083333333332,0.6971141259303817,1.2498127237277528,0.25,0.7550566972566541
GOAL_OBJECT,24715.5,0.4255449612237393,0.9999986660613348,0.7496594976868234,0.7496594976868234,1.0,0.5060069444444444,0.8617534722222222,0.0,0.9162847222222222,0.9824305555555556,0.6963683734600695,1.0,0.2503405023131766,0.8047684981342521
GOAL_OBJECT_PLUS_TF,24715.5,0.8288263592344525,0.8434477563693815,0.0048687901815198,0.0048687901815198,1.0,0.0050520833333333,0.4326909722222222,0.1400520833333333,0.7770486111111111,0.9497222222222222,0.6751780657367866,1.0,0.99513120981848,0.5240474390745774
