condition,seed,correlated_effective_count,independent_effective_count,effective_count_ratio,correlated_authority_change,independent_authority_change,authority_change_ratio,dependency_precision,dependency_recall,reversal_recovery,saturation_rate,transfer_stability,composite,oracle_gap
COVARIANCE_CLUSTER,25711.5,1.0,4.0,4.0,0.13578537216027217,0.21506728389466026,1.5841200638527324,1.0,1.0,0.9931938015958822,0.003472222222222222,0.985001213398273,0.8583040459877466,0.0
DEPENDENCY_DISCOUNT,25711.5,1.0,4.0,4.0,0.13578537216027217,0.21506728389466026,1.5841200638527324,1.0,1.0,0.9931938015958822,0.003472222222222222,0.985001213398273,0.8583040459877466,0.0
ORACLE_COMMON_CAUSE,25711.5,1.0,4.0,4.0,0.13578537216027217,0.21506728389466026,1.5841200638527324,1.0,1.0,0.9931938015958822,0.003472222222222222,0.985001213398273,0.8583040459877466,0.0
PROVENANCE_CONTEXT,25711.5,2.6395833333333334,4.9371527777777775,1.872355455665442,0.20628749385773829,0.21376851665690963,1.0369040080846024,0.0,0.0,0.9931328151707911,0.003472222222222222,0.9845979075358757,0.5950459364540354,0.2632581095337112
RAW_COUNTING,25711.5,6.0,6.0,1.0,0.2618830188980363,0.21506728389466026,0.8214093235501458,0.0,0.0,0.9931938015958822,0.003472222222222222,0.985001213398273,0.5539419481297879,0.30436209785795865
