shift_offset,current_segment_length,estimator,relative_scale_mae,decision_error,effective_sample_size
0.8,12,GLOBAL_HISTORY,0.7859472287310637,0.3934375,128.0
0.8,12,FIXED_RECENCY_32,0.5310206486231273,0.351875,32.0
0.8,12,EXPONENTIAL_RECENCY_HL16,0.4973295678580989,0.34234375,45.814134818147636
0.8,12,CHANGE_POINT_AWARE,0.2914695156349655,0.214375,40.6375
0.8,12,LOCAL_CONTINUITY,0.35224637801495395,0.2725,52.630057964460185
0.8,12,CHAINED_CONTINUITY,0.2158190361223557,0.2021875,16.694374940367005
0.8,20,GLOBAL_HISTORY,0.7261575819433514,0.389375,128.0
0.8,20,FIXED_RECENCY_32,0.29943981613262566,0.24734375,32.0
0.8,20,EXPONENTIAL_RECENCY_HL16,0.34318224054494795,0.26890625,45.814134818147636
0.8,20,CHANGE_POINT_AWARE,0.12301832088818379,0.11265625,22.875
0.8,20,LOCAL_CONTINUITY,0.2845812763623335,0.2246875,55.01032291722688
0.8,20,CHAINED_CONTINUITY,0.130422024102507,0.1240625,22.657947506075498
0.8,32,GLOBAL_HISTORY,0.6257755314609048,0.3775,128.0
0.8,32,FIXED_RECENCY_32,0.09570954577275123,0.09296875,32.0
0.8,32,EXPONENTIAL_RECENCY_HL16,0.20801075812272013,0.18828125,45.814134818147636
0.8,32,CHANGE_POINT_AWARE,0.10248066941424283,0.0984375,32.18125
0.8,32,LOCAL_CONTINUITY,0.24890920157851312,0.20171875,63.920100462495704
0.8,32,CHAINED_CONTINUITY,0.13824993623310386,0.12890625,32.664539199525436
0.8,48,GLOBAL_HISTORY,0.5084109958013843,0.35,128.0
0.8,48,FIXED_RECENCY_32,0.08699152342085126,0.09625,32.0
0.8,48,EXPONENTIAL_RECENCY_HL16,0.10878059854773295,0.12171875,45.814134818147636
0.8,48,CHANGE_POINT_AWARE,0.08136292176326483,0.09171875,48.45
0.8,48,LOCAL_CONTINUITY,0.16627211821728052,0.15984375,69.9672907997319
0.8,48,CHAINED_CONTINUITY,0.0982638771770723,0.109375,41.60351464178369
