condition,seed,credit_mae_vs_oracle,max_scale_credit_mae,premature_recharge_error,missed_recharge_error,authority_mae_vs_oracle,min_scale_reversal_recovery,min_scale_transfer_stability,scale_invariance_cv,mean_scale_hat,composite
ESTIMATED_SCALE_NORMALIZED,26511.5,0.029947221351236217,0.03851944544214916,0.008278177552998223,0.0066332577833057476,0.0020704998083876224,1.0,0.9310201365092391,0.010057333613493244,1.93707766471545,0.9575944088829927
FIXED_TAU12,26511.5,0.15565802159130643,0.3212346895989585,0.18648574817414432,0.03282621619474493,0.005042538218714441,1.0,0.8765146001744065,0.363234987737096,1.0,0.7800413287122364
NO_REPLENISH,26511.5,0.32280776314535975,0.3228077631453597,0.0,0.7026704344447952,0.2798125491473513,0.9973327741978841,0.9975038541376874,0.0,1.0,0.45387702045418116
ORACLE_SCALE_NORMALIZED,26511.5,0.0,0.0,0.0,0.0,2.6340968977936864e-05,1.0,0.9327898940398183,0.0,1.875,0.9956094682027506
