condition,seed,correlated_effective_count,independent_effective_count,effective_count_ratio,correlated_authority_change,independent_authority_change,authority_change_ratio,dependency_precision,dependency_recall,reversal_recovery,saturation_rate,transfer_stability,final_authority_mean,composite,oracle_gap
COVARIANCE_CLUSTER,25611.5,1.0,4.0,4.0,0.39743963012314815,0.001450407055164118,0.0037448545426619225,1.0,1.0,1.0,0.8923611111111112,1.0,0.9113163674626886,0.5661260057915841,0.0
DEPENDENCY_DISCOUNT,25611.5,1.0,4.0,4.0,0.39743963012314815,0.001450407055164118,0.0037448545426619225,1.0,1.0,1.0,0.8923611111111112,1.0,0.9113163674626886,0.5661260057915841,0.0
ORACLE_COMMON_CAUSE,25611.5,1.0,4.0,4.0,0.39743963012314815,0.001450407055164118,0.0037448545426619225,1.0,1.0,1.0,0.8923611111111112,1.0,0.9113163674626886,0.5661260057915841,0.0
PROVENANCE_CONTEXT,25611.5,2.6886718750000003,4.8648437499999995,1.811035760413592,0.3988585179938762,0.0,0.0,0.0,0.0,1.0,0.8854166666666666,1.0,0.910621097634276,0.350880232499877,0.21524577329170713
RAW_COUNTING,25611.5,6.0,6.0,1.0,0.39886276802314186,0.0,0.0,0.0,0.0,1.0,0.8923611111111112,1.0,0.9113163674626886,0.28322916666666664,0.2828968391249175
