condition,seed,empty_set_detection_rate,forced_violation_rate,transformable_resolution_rate,info_resolvable_resolution_rate,irreducible_least_loss_accuracy,unnecessary_abstention_rate,probe_rate,transform_rate,residual_retention_accuracy,reward_efficiency,common_good,composite
ABSTAIN_ONLY,22339.5,0.5246445828486853,0.0,0.0,0.4972394607748769,0.4616882268878175,0.0313704809006068,0.0,0.0,0.0,0.7851627875645442,0.0930093749999968,0.5246091506735964
FORCED_CHOICE,22339.5,0.5246445828486853,0.401390625,0.0,0.4972394607748769,0.7371596611913819,0.0,0.0,0.0,0.0,0.9397085638848856,-0.1338809151785671,0.4931887732297085
SEEK_INFORMATION,22339.5,0.5246445828486853,0.0219933035714285,0.0,0.4972394607748769,0.4745255374531839,0.0,0.401390625,0.0,0.0,0.7914157351563519,0.0839056919642817,0.5050801374297654
TRANSFORM_ACTION_SPACE,22339.5,0.5246445828486853,0.2209263392857142,0.5309167384743174,0.4972394607748769,0.9996977297437492,0.0,0.1103683035714285,0.1804642857142857,0.0,0.8551694997862199,0.1742994419642909,0.6356829816152991
TRANSFORM_PLUS_RESIDUAL,22339.5,0.5246445828486853,0.2209263392857142,0.5309167384743174,0.4972394607748769,0.9996977297437492,0.0,0.1103683035714285,0.1804642857142857,1.0,0.8551694997862199,0.1742994419642909,0.7056829816152991
