condition,seed,self_carrier_accuracy,other_carrier_accuracy,carrier_invariance_gap,false_self_priority_rate,boundary_accuracy,both_critical_preservation_accuracy,conflict_detection_rate,no_critical_neutrality,reward_efficiency,common_good,composite
BINARY_FUNCTION_THRESHOLD,21839.5,1.0,0.9994666323607256,0.0005333676392742,0.5389865383229205,0.666970903995127,0.0,0.0,1.0,0.8958538657243448,0.5399357638888833,0.6690865712042082
CONTINUOUS_RELEVANCE,21839.5,1.0,1.0,0.0,0.0008939529796716,0.9951827848744378,0.0,0.0,0.999260928811367,0.866758573938141,0.7021760416666616,0.789093927354168
CONTINUOUS_RELEVANCE_CONFLICT,21839.5,1.0,1.0,0.0,0.0008939529796716,0.9951597221438104,0.5633388380664323,0.5633388380664323,0.999260928811367,0.8398754813429787,0.7932061342592602,0.8999087247015767
PURE_ROLE_SYMMETRY,21839.5,0.9671912118039572,0.0334707117280389,0.9337205000759182,0.9676707756808154,0.4983277039983989,0.0,0.0,1.0,0.9579398190280136,0.0647649305555533,0.3076461848448388
SELF_IDENTITY_PRIORITY,21839.5,1.0,0.0,1.0,1.0,0.4986441453909875,0.0,0.0,0.0,0.9649682606195376,-0.002430208333333,0.2422727502161485
