policy,median_first_identified_strong,false_identification_rate,final_identified_false_rate,median_revocation_delay,mean_identified_rate,mean_unknown_rate,mean_provisional_rate,mean_cost,mean_state_changes
SNAPSHOT_DECISION_THEORETIC,999.0,0.0,0.0,0.0,0.0,0.011670524691358023,0.988329475308642,0.2214959490740741,0.18489583333333334
ACCUMULATED_EVIDENCE_AUTHORITY,12.0,0.7731481481481481,0.48726851851851855,5.0,0.3203125,0.004436728395061728,0.6752507716049383,0.23299479166666665,1.3116319444444444
