condition,seed,conflict_brier,admissibility_brier,resolution_brier,admissibility_error_rate,resolution_error_rate,probe_rate,probe_precision,transform_rate,high_stakes_protection_rate,reward_efficiency,common_good,composite
CHANNEL_SPECIFIC_CALIBRATION,22719.5,0.015244570524582435,0.047985740287250715,0.06664898426290049,0.0305546875,0.0478203125,0.0,0.0,0.0,0.5322214397001522,0.7960797047812929,0.06183367187500087,0.7493593674777919
CHANNEL_SPECIFIC_PLUS_ACTION,22719.5,0.015967228932011746,0.04791178525751914,0.06592617916334734,0.030328125,0.047203125,0.47201562499999994,0.7995108913365081,0.18021875,0.9986464113578286,0.7201914055150276,0.45379789062500253,0.8441605180858021
FIXED_DECOMPOSED,22719.5,0.03779994086375355,0.06840644572981282,0.07810850178136246,0.033195312500000004,0.0629296875,0.0,0.0,0.0,0.5322214397001522,0.7960797047812929,0.06183367187500087,0.7415032036885518
FIXED_MONOLITHIC,22719.5,0.1759042972462424,0.15669281597737722,0.20397376557100172,0.1826640625,0.29065625,0.0,0.0,0.0,0.5322214397001522,0.7960797047812929,0.06183367187500087,0.6642750407158384
GLOBAL_CALIBRATION,22719.5,0.017889430615202113,0.04850481176799141,0.06430349689028711,0.028468749999999998,0.0475234375,0.0,0.0,0.0,0.5322214397001522,0.7960797047812929,0.06183367187500087,0.7495523326257546
