budget,clairvoyant_gain,true_model_preposterior_gain,current_net_gain,current_helpful_gain,predictable_fraction_of_clairvoyant,irreducible_fraction_of_clairvoyant,model_gap_fraction_of_clairvoyant,current_fraction_of_predictable,recoverable_share_of_current_to_clairvoyant_gap
0.05,0.0403125,0.026187500000000002,0.008937500000000001,0.010062499999999999,0.6496124031007753,0.3503875968992248,0.4279069767441861,0.3412887828162291,0.5498007968127491
0.1,0.0440625,0.039875,0.013125000000000001,0.014875,0.9049645390070923,0.09503546099290773,0.6070921985815603,0.32915360501567403,0.8646464646464648
0.15,0.0440625,0.0435,0.0165,0.018875000000000003,0.9872340425531915,0.012765957446808522,0.6127659574468085,0.37931034482758624,0.9795918367346939
