condition,seed,scale_estimation_mae,dense_scale_mae,sparse_scale_mae,credit_mae_vs_oracle,authority_mae_vs_oracle,cross_process_discrimination_cv,fast_process_premature_error,slow_process_missed_error,reversal_recovery,peak_saturation_rate,transfer_stability,dependency_precision,dependency_recall,global_scale_hat,mean_estimated_scale,composite,oracle_gap
GLOBAL_TIMESCALE,26611.5,1.40625,0.9583333333333334,2.75,0.14501352965137823,0.02088389237559664,0.2543055434287273,0.0,0.0,0.982835028057906,0.0,0.6518720911574305,1.0,1.0,1.7307390260958424,1.7307390260958424,0.533325083679263,0.4660344740029929
ORACLE_PROCESS_SCALE,26611.5,0.0,0.0,0.0,0.0,6.65562467918045e-05,0.0,0.0,0.0,1.0,0.0,0.9885222785809544,1.0,1.0,1.7307390260958424,2.34375,0.9993595576822559,0.0
PER_PROCESS,26611.5,0.09384828164646247,0.06206873523815676,0.18918692087137964,0.009099156448083739,0.0013122723333535014,0.005991758535601521,0.0007635746142157831,0.0008406682036635713,1.0,0.0,0.9844067372806147,1.0,1.0,1.7307390260958424,2.3152256993850906,0.9719575290366712,0.02740202864558472
SHRINKAGE_PER_PROCESS,26611.5,0.6433613688319411,0.23440352333073752,1.8702349053355516,0.06260541574152147,0.009922628485176508,0.13982927784981228,0.0,0.0,0.9998331705042222,0.0,0.8334290192369517,1.0,1.0,1.7307390260958424,2.0247642944958124,0.7593704655886939,0.239989092093562
