condition,seed,recoverability_mae,goal_revision_accuracy,identity_swap_consistency,relevant_asymmetry_accuracy,transform_success_rate,irreversibility_protection_rate,common_good,attention_entropy,composite
LEARNED_CHANNELING,24007.5,0.2269919626414775,0.930125,0.9795275131519812,1.0,0.9984344384055556,0.0024675372006895,0.4840424999999978,0.9660388723015784,0.6474195888718931
LEARNED_CHANNELING_RECOVERABILITY,24007.5,0.0315083973109722,0.9218333333333332,0.9815166866352624,1.0,0.9994646460014672,0.0013736263736263,0.4474808333333316,0.9616942219436168,0.7141484044895448
LEARNED_FORWARD_ONLY,24007.5,0.2261980008333921,0.9287083333333334,0.9910219211965404,1.0,0.9339776606835593,0.0,0.4085145833333323,1.0,0.6307664411431044
LEARNED_RECOVERABILITY,24007.5,0.0307418949669227,0.9219166666666666,0.9942231428225126,1.0,0.9299223343900928,0.0006906077348066,0.3736616666666662,1.0,0.6976590316409804
ORACLE_CANONICAL,24007.5,0.0,1.0,1.0,1.0,0.9841874741971208,0.1062388726909986,0.5060483333333309,1.0,0.7645412123344343
