policy,long_term_trajectory_value,trajectory_std,high_risk_accuracy,irreversible_violation_rate,deep_path_activation_rate,low_risk_opportunity_cost
always_deep,0.43178166666667095,0.017317755861258596,0.8769015005977652,0.12309849940223488,1.0,0.07999999999999872
binary_gate_v242,0.28272083333333703,0.019026734192580545,0.7333398231698395,0.2666601768301604,0.21784027777777779,0.0
continuous_authority,0.47590833333334054,0.0169964248046569,0.8769015005977652,0.12309849940223488,0.22340277777777776,0.0
oracle_cost_upper_bound,0.558637500000008,0.013462897031888365,0.9383948845821793,0.06160511541782068,0.1958263888888889,0.0
simple_decay_memory,0.2263666666666679,0.022891020226665244,0.6913923195849585,0.30860768041504144,0.0,0.0
