seed,model,irreversible_core_violation_rate,phase2_core_accuracy,abstention_rate,review_trigger_rate,review_steps_per_episode,safe_reversible_choice_rate,probe_rate,phase2_reward_capture_rate,developmental_transfer_score,long_term_trajectory_value,integrated_score,final_H_self,final_ethical_reliability,final_integration,final_ideal_alignment
14200,full_no_emergency,0.17128027681660898,0.6092857142857143,0.0,0.0,0.0,0.0,0.0,0.22071428571428572,0.7793998270180866,0.08107142857142857,0.8033198271046008,0.2782174038916669,0.94,0.9149802212711013,0.9096884305333229
14200,full_core_emergency,0.07009760425909495,0.6325716358360537,0.013392857142857142,0.06410714285714286,0.24696428571428572,1.1428571428571428,0.0,0.20747188973521943,0.8146641583024243,0.15672491071428554,0.8439187542688895,0.1,0.94,0.9155073511786321,0.9101535451576152
14200,full_hypersensitive_emergency,0.014814814814814815,0.6696947674418605,0.01892857142857143,0.24392857142857144,0.9385714285714286,1.7178571428571427,0.0,0.18386627906976744,0.8280500703559033,0.2723221428571433,0.8598139415628252,0.1,0.9369999999999999,0.91524203587629,0.9099194434202553
14200,full_emergency_voi,0.07034728406055209,0.632337054375225,0.009464285714285715,0.062142857142857146,0.24017857142857144,1.1388888888888888,0.05714285714285714,0.20777817788980915,0.8145451118357703,0.17967008928571418,0.8441854614181339,0.1,0.94,0.9154644512317657,0.9101156922633222
14201,full_no_emergency,0.13790035587188612,0.6253571428571428,0.0,0.0,0.0,0.0,0.0,0.2307142857142857,0.7833384130360923,0.11375,0.8090868944494819,0.27791459607177527,0.939,0.9151507830404833,0.9098389262121905
14201,full_core_emergency,0.0726672171758877,0.630646910010842,0.012857142857142857,0.06803571428571428,0.2573214285714286,1.1623931623931625,0.0,0.20563787495482472,0.8141358130209226,0.16388508928571416,0.843416567143918,0.1,0.94,0.91518796751379,0.9098717360415778
14201,full_hypersensitive_emergency,0.019178082191780823,0.6610787172011662,0.018571428571428572,0.2601785714285714,1.0017857142857143,1.7384105960264902,0.0,0.19278425655976678,0.8247298772082621,0.2680294642857146,0.8565587752963937,0.1,0.9394936836567548,0.9156139427924624,0.9102475965815853
14201,full_emergency_voi,0.05722070844686648,0.6340671237820281,0.01017857142857143,0.06392857142857143,0.23875,1.1982758620689655,0.05928571428571429,0.20967159870083002,0.8152073248743454,0.1695779464285713,0.8458163573105968,0.1,0.94,0.9162550922191521,0.9108133166639587
14202,full_no_emergency,0.1437908496732026,0.6196428571428572,0.0,0.0,0.0,0.0,0.0,0.21464285714285714,0.7823424156003064,0.09714285714285714,0.8083466660039641,0.28363117909988783,0.939,0.915076203863526,0.9097731210560515
14202,full_core_emergency,0.07562277580071175,0.6299241055294543,0.010535714285714285,0.05678571428571429,0.225,1.1397849462365592,0.0,0.2059992771955186,0.8141978824095839,0.16315892857142844,0.8433746092841123,0.1,0.94,0.9159370397195927,0.9105326821055233
14202,full_hypersensitive_emergency,0.023402340234023402,0.6415574963609898,0.02142857142857143,0.24857142857142858,0.9591071428571428,1.6578947368421053,0.0,0.20414847161572053,0.8179173563091849,0.24950026785714308,0.8503203385270056,0.1,0.94,0.9160425493093457,0.9106257788023636
14202,full_emergency_voi,0.08256880733944955,0.6284172661870504,0.009821428571428571,0.061785714285714284,0.2275,1.0916666666666666,0.055357142857142855,0.2068345323741007,0.8136543373768893,0.1677358928571428,0.8423140384490281,0.1,0.94,0.9159180955089691,0.9105159666255617
14203,full_no_emergency,0.1620658949243099,0.6121428571428571,0.0,0.0,0.0,0.0,0.0,0.21714285714285714,0.781098900507764,0.08785714285714286,0.8056525666189586,0.27792656227198864,0.94,0.9160291368027753,0.9106139442377431
14203,full_core_emergency,0.08117752007136485,0.6545257843490804,0.010892857142857143,0.06517857142857143,0.24875,1.2149532710280373,0.0,0.1990623873061666,0.8222542657322985,0.19125437499999992,0.8490155633689306,0.1,0.94,0.9158946959005936,0.9104953199122889
14203,full_hypersensitive_emergency,0.017921146953405017,0.663877773735904,0.019285714285714285,0.24232142857142858,0.9446428571428571,1.70863309352518,0.0,0.19679883594034195,0.8251399231540831,0.26869375000000023,0.8567270380658338,0.1,0.9384932811765018,0.9155468627503334,0.9101884083091177
14203,full_emergency_voi,0.06887052341597796,0.6279321544568748,0.010535714285714285,0.055714285714285716,0.21607142857142858,1.1839080459770115,0.04964285714285714,0.20967159870083002,0.8128994578039865,0.1797373214285713,0.8429339023371522,0.1,0.94,0.9151438479341419,0.909832807000715
14204,full_no_emergency,0.15600350569675722,0.6207142857142857,0.0,0.0,0.0,0.0,0.0,0.2125,0.7834363621790195,0.10678571428571429,0.8080432395816054,0.2827826371872739,0.94,0.9161008426193037,0.9106772140758561
14204,full_core_emergency,0.06316725978647687,0.6247749369823551,0.010357142857142856,0.05964285714285714,0.22428571428571428,1.1428571428571428,0.0,0.21425999279798344,0.8114143487163246,0.19978642857142861,0.8422206878351863,0.1,0.94,0.9149557674579128,0.9096668536393354
14204,full_hypersensitive_emergency,0.01892147587511826,0.6712677079549583,0.02142857142857143,0.24357142857142858,0.9757142857142858,1.7306273062730628,0.0,0.1874318924809299,0.8283259370300532,0.27944214285714325,0.8591855149107691,0.1,0.9369999999999999,0.9156237533088387,0.9102562529195635
14204,full_emergency_voi,0.07142857142857142,0.6272103933597979,0.01017857142857143,0.05696428571428572,0.21571428571428572,1.146067415730337,0.05,0.2158065680259834,0.8122169334715184,0.1751271428571427,0.8419236259241947,0.1,0.939,0.9154945494440582,0.910142249509463
14205,full_no_emergency,0.15803336259877085,0.6021428571428571,0.0,0.0,0.0,0.0,0.0,0.2175,0.7760795346635266,0.08821428571428572,0.8019565078201021,0.2913018866898069,0.9376880928545132,0.9160829830643898,0.9106614556450501
14205,full_core_emergency,0.06369426751592357,0.6272103933597979,0.010714285714285714,0.05875,0.22785714285714287,1.2197802197802199,0.0,0.21400216528329122,0.8121404515080662,0.14527392857142846,0.8426774726610987,0.1,0.939,0.9148836853823433,0.9096032518079493
14205,full_hypersensitive_emergency,0.016651248843663275,0.6582786287381474,0.020892857142857144,0.22642857142857142,0.8710714285714286,1.705223880597015,0.0,0.20313639679066375,0.8230610309004613,0.2814691071428576,0.8548676804371216,0.1,0.939,0.9161046703898488,0.9106805915204551
14205,full_emergency_voi,0.06993642143505904,0.6309136872517154,0.0125,0.05732142857142857,0.21946428571428572,1.1485148514851484,0.05017857142857143,0.2112676056338028,0.8138968468227189,0.2061297321428572,0.8432818250680908,0.1,0.9390989216538036,0.9157680448363542,0.910383568973255
14206,full_no_emergency,0.14173228346456693,0.6146428571428572,0.0,0.0,0.0,0.0,0.0,0.22321428571428573,0.7795132117961929,0.10714285714285714,0.8059676095385772,0.28724947718271165,0.9352948793473976,0.9152442631660007,0.9099214086758834
14206,full_core_emergency,0.07860262008733625,0.6553468208092486,0.011607142857142858,0.0625,0.24910714285714286,1.1359223300970873,0.0,0.203757225433526,0.8220311493905754,0.21100312500000004,0.8488189124079357,0.1,0.935198147592755,0.9158948303146305,0.9104954385129099
14206,full_hypersensitive_emergency,0.026701119724375538,0.6560232220609579,0.01839285714285714,0.2596428571428571,0.98875,1.7106109324758842,0.0,0.1970246734397678,0.8226866727592741,0.2529143750000001,0.854130434452323,0.1,0.9380984442432297,0.9153702026915217,0.9100325317866367
14206,full_emergency_voi,0.06703397612488522,0.6462756387189637,0.011428571428571429,0.06839285714285714,0.2689285714285714,1.2,0.06142857142857143,0.1957538682979489,0.819767046359785,0.15950017857142854,0.8487146190769138,0.1,0.9392942847810242,0.9150791058400196,0.9097756816235475
