model,final_holdout_recall,final_holdout_false_alarm,final_holdout_violation_rate,trap_capture_rate,trajectory_value,final_quality_used,final_TF,final_I,final_A,final_H,final_maturity
simple_fixed_q058,0.620994350757426,0.22155833333333336,0.48962252711482546,0.34834682878853923,0.5562318833333285,0.58,0.24,0.34,0.4,0.62,0.34
simple_fixed_q084_a008,0.7969036392120672,0.09095,0.3445116670491224,0.17991801009601502,0.7008659222222184,0.8400000000000001,0.24,0.34,0.4,0.62,0.34
tdc_full_developmental_perception,0.8397766382901704,0.05739999999999999,0.3117063767992867,0.17642696748430794,0.695687105555552,0.90856667237656,0.95,0.95,0.937674525890823,0.2434077881400182,0.8985666844377012
tdc_no_perceptual_development,0.6216744059121607,0.2194333333333333,0.4874032421703075,0.35082348304842265,0.5559021777777731,0.58,0.95,0.95,0.8864844793836661,0.3980642009164064,0.8471050696168149
