seed,model,final_holdout_recall,final_holdout_false_alarm,final_holdout_violation_rate,trap_capture_rate,trajectory_value,final_quality_used,final_TF,final_I,final_A,final_H,final_maturity
18213,simple_fixed_q058,0.6,0.21866666666666668,0.5,0.36525172754195456,0.5696675555555513,0.58,0.24,0.34,0.4,0.62,0.34
18213,simple_fixed_q084_a008,0.8545454545454545,0.07333333333333333,0.2818181818181818,0.1891625615763547,0.7212106666666629,0.84,0.24,0.34,0.4,0.62,0.34
18214,tdc_full_developmental_perception,0.7954545454545454,0.07066666666666667,0.2840909090909091,0.19271332694151486,0.6821013333333297,0.9086524623232004,0.95,0.95,0.9340895428025016,0.23991555064099804,0.8985434980403758
18214,tdc_no_perceptual_development,0.6829268292682927,0.23066666666666666,0.4146341463414634,0.36489151873767256,0.5188337777777732,0.58,0.95,0.95,0.8789598369425147,0.40983354069296263,0.842281574062388
18214,simple_fixed_q058,0.6421052631578947,0.24266666666666667,0.5157894736842106,0.3388998035363458,0.5647848888888833,0.58,0.24,0.34,0.4,0.62,0.34
18214,simple_fixed_q084_a008,0.8222222222222222,0.10933333333333334,0.2777777777777778,0.17042115572967678,0.7107448888888848,0.84,0.24,0.34,0.4,0.62,0.34
18215,tdc_full_developmental_perception,0.8791208791208791,0.05466666666666667,0.24175824175824176,0.19561068702290077,0.7265182222222196,0.9091111601807649,0.95,0.95,0.9282957425651593,0.2283441447082289,0.8999878994642326
18215,tdc_no_perceptual_development,0.6463414634146342,0.232,0.4634146341463415,0.3336510962821735,0.5534195555555514,0.58,0.95,0.95,0.8873928121743377,0.4176532917233483,0.8424348801127474
18215,simple_fixed_q058,0.6447368421052632,0.19333333333333333,0.47368421052631576,0.339,0.6107102222222165,0.58,0.24,0.34,0.4,0.62,0.34
18215,simple_fixed_q084_a008,0.7866666666666666,0.10666666666666667,0.3466666666666667,0.1640625,0.690875555555552,0.84,0.24,0.34,0.4,0.62,0.34
18216,tdc_full_developmental_perception,0.8414634146341463,0.05733333333333333,0.2926829268292683,0.18032786885245902,0.7125768888888852,0.9112734350888815,0.95,0.95,0.9446446664861298,0.2081262010734438,0.9091296163531715
18216,tdc_no_perceptual_development,0.5697674418604651,0.224,0.5581395348837209,0.3649564375605034,0.5460115555555513,0.58,0.95,0.95,0.8767547055125617,0.4309378593271043,0.8364542115463643
18216,simple_fixed_q058,0.64,0.22666666666666666,0.5,0.34901960784313724,0.5344346666666625,0.58,0.24,0.34,0.4,0.62,0.34
18216,simple_fixed_q084_a008,0.8350515463917526,0.076,0.32989690721649484,0.18009950248756218,0.7164693333333295,0.84,0.24,0.34,0.4,0.62,0.34
18217,tdc_full_developmental_perception,0.8478260869565217,0.044,0.33695652173913043,0.18454106280193236,0.6931955555555521,0.9090320004959942,0.95,0.95,0.9453069376962897,0.24339718041934577,0.9004774393192359
18217,tdc_no_perceptual_development,0.7142857142857143,0.22133333333333333,0.4065934065934066,0.3743937924345296,0.5882648888888841,0.58,0.95,0.95,0.8839529270206343,0.3709438396163819,0.8532522718510631
18217,simple_fixed_q058,0.5974025974025974,0.21066666666666667,0.4935064935064935,0.3556650246305419,0.5432302222222174,0.58,0.24,0.34,0.4,0.62,0.34
18217,simple_fixed_q084_a008,0.7272727272727273,0.09866666666666667,0.3977272727272727,0.18860510805500982,0.6946293333333297,0.84,0.24,0.34,0.4,0.62,0.34
18218,tdc_full_developmental_perception,0.8641975308641975,0.05733333333333333,0.2839506172839506,0.1643002028397566,0.7134791111111081,0.9105332227902578,0.95,0.95,0.940499192600444,0.21496377517157617,0.9063838543572169
