profile_id,seed,A_TF,I,C_T,R_C,H_self,weakest_link,mean_maturity,geometric_maturity,joint_interaction,target_reliability,ethical_sensitivity,ethical_sense_reliability_realized,decision_accuracy,high_stakes_accuracy,long_term_trajectory_value,deep_path_activation_rate
1,11300,0.45104793218670197,0.5588593153351185,0.8555500757548569,0.938329290774029,0.1981431702444047,0.45104793218670197,0.7211286887612604,0.695095610758849,0.34724408655216865,0.7709597262885036,0.7510430248581587,0.7888563049853372,0.734,0.7389380530973452,0.4638999999999975,0.682
2,11300,0.2566350682007338,0.30330521854289944,0.33967061771251983,0.7987132999556938,0.6592093467694262,0.2566350682007338,0.4078229715284841,0.3727575865021872,0.10349116230578768,0.6105626537388245,0.7214294080403185,0.6234567901234568,0.592,0.5953488372093023,0.244,0.0
3,11300,0.49741149253040406,0.4488739761930119,0.9247727396626633,0.7825265389987535,0.23064614359054814,0.4488739761930119,0.6845877207588569,0.6590222757002916,0.31341096675378677,0.7502566156626429,0.7600917668348334,0.7792553191489362,0.736,0.7268518518518519,0.46239999999999737,0.752
4,11300,0.3491261472725384,0.4055063549581911,0.8647316883790113,0.36078713219132863,0.17660017893964675,0.3491261472725384,0.5607102287722845,0.5154002733193624,0.19301598023014682,0.673838760894147,0.6812312370024812,0.6166134185303515,0.606,0.5955555555555555,0.21070000000000086,0.626
5,11300,0.6650473174966198,0.3136413950851528,0.7777180082039545,0.5584825376606379,0.16513795819824273,0.3136413950851528,0.6299502600496245,0.5966868660007021,0.30246931527722914,0.7344407482965626,0.746893161980247,0.7445054945054945,0.728,0.777292576419214,0.4875999999999967,0.728
6,11300,0.7688279074776112,0.5110428264095923,0.4498578276203058,0.3617779908515001,0.13448030393101484,0.3617779908515001,0.5914052496855989,0.5605523312155423,0.36594236317477274,0.7545952121522022,0.7095196676215401,0.7485029940119761,0.726,0.7076271186440678,0.41659999999999786,0.668
7,11300,0.4706802260074193,0.8997523666141816,0.44699637092062977,0.4972520395245385,0.05529947882156801,0.44699637092062977,0.6518763048490401,0.6163178346013136,0.40908878334647913,0.7827544992337576,0.6499232515740306,0.7290322580645161,0.68,0.6484018264840182,0.34099999999999814,0.62
8,11300,0.8558031683077305,0.7567983451119984,0.4968610443467221,0.8794052531475611,0.5095784036032581,0.4904215963967419,0.6958578814621508,0.6737046280357679,0.5465435517634188,0.8508151247870741,0.8360281947565891,0.8592964824120602,0.812,0.7871287128712872,0.6001999999999958,0.796
9,11300,0.3314125055982535,0.9045538599154825,0.4714040171466033,0.5343608471121324,0.29736200590617695,0.3314125055982535,0.588873844773259,0.5558435524688136,0.3275731213470378,0.7376325504101423,0.6688008500750603,0.7243589743589743,0.666,0.673469387755102,0.314799999999999,0.624
10,11300,0.9233559574544712,0.5118940852885807,0.8403611573433858,0.5538133622239008,0.36390389863188816,0.5118940852885807,0.69310413273569,0.6748080896230895,0.4981420597328985,0.8306851212199735,0.8359194947754915,0.8316831683168316,0.8,0.84,0.6155999999999954,0.808
11,11300,0.885895958710404,0.8061579509980357,0.4418614776781681,0.770236579763856,0.2484598822793489,0.4418614776781681,0.731138416974223,0.7117591555202563,0.6050051437860248,0.8822188083837765,0.7836801330029619,0.8972222222222223,0.816,0.8198198198198198,0.6199999999999953,0.72
12,11300,0.8059858372716153,0.840916101531338,0.24731572029641333,0.3559091902713305,0.2875042091807882,0.24731572029641333,0.5925245280379817,0.5317293849295389,0.4369244050829673,0.7792195394221633,0.7191577056196062,0.7507507507507507,0.728,0.7699530516431925,0.4986999999999972,0.666
13,11300,0.8731090049754189,0.5847027301002519,0.6618147930447498,0.5024940057220602,0.5069844590633864,0.4930155409366136,0.6230272149558188,0.6089004722100195,0.452611662788433,0.7996989833689454,0.8259813019102193,0.8107416879795396,0.782,0.8169014084507042,0.5868999999999955,0.782
14,11300,0.7214097743667172,0.4438123688478236,0.27597620931229877,0.5099756596059992,0.6975326944979381,0.27597620931229877,0.45072826352698014,0.42354171513831046,0.2526387965896832,0.6823458032925628,0.7863946510996007,0.652542372881356,0.624,0.6285714285714286,0.297,0.3
15,11300,0.6735432179159703,0.5873141280130576,0.7237373405588714,0.7998983705840719,0.5364159953938485,0.46358400460615146,0.6496154123356245,0.6385516480655206,0.4053143544826842,0.7851713255345211,0.823768431723471,0.8203125,0.784,0.7383966244725738,0.49759999999999727,0.768
16,11300,0.6644939305543325,0.6042505003792886,0.458296588225336,0.2441955103719871,0.48728740044365754,0.2441955103719871,0.49678982581745734,0.47042811062236795,0.29984353290511023,0.7106113437321725,0.7388762570153884,0.7366946778711485,0.7,0.6919642857142857,0.38829999999999826,0.714
17,11300,0.537547149287219,0.8281742871178261,0.2793208260410941,0.40623659244880805,0.34139079569750846,0.2793208260410941,0.5419776118394878,0.5063020571419862,0.33837653048014515,0.7332525130872185,0.6840471172694256,0.72,0.684,0.6733870967741935,0.32999999999999985,0.6
18,11300,0.6133753690446142,0.7724261414916529,0.5521971910739412,0.46418958460061327,0.25841439675742955,0.46418958460061327,0.6287547778906785,0.6178838359658743,0.42321843153908023,0.788970831720271,0.7197504657537483,0.811046511627907,0.766,0.7404255319148936,0.4875999999999967,0.688
