seed,policy,long_term_trajectory_value,high_risk_accuracy,irreversible_violation_rate,deep_path_activation_rate,low_risk_opportunity_cost,probe_rate,mean_key_posterior_confidence
9900,hard_key_continuous,0.320399999999999,0.7877412031782066,0.2122587968217934,0.2676470588235294,0.0,0.0,0.8741176470588236
9900,soft_probabilistic_key,0.2996941176470569,0.775255391600454,0.22474460839954596,0.24352941176470588,0.0,0.0,0.8799704580227222
9900,abstain_on_key_uncertainty,0.2996941176470569,0.775255391600454,0.22474460839954596,0.24352941176470588,0.0,0.0,0.8799704580227222
9900,active_probe,0.3669500000000014,0.8195232690124858,0.18047673098751418,0.2641176470588235,0.0,0.17588235294117646,0.9091193550815531
9900,oracle_key_audit_only,0.4088705882352977,0.8410896708286039,0.15891032917139614,0.26941176470588235,0.0,0.0,1.0
9901,hard_key_continuous,0.2686352941176455,0.757871878393051,0.24212812160694897,0.2776470588235294,0.0,0.0,0.8752941176470588
9901,soft_probabilistic_key,0.2611058823529395,0.753528773072747,0.24647122692725298,0.25882352941176473,0.0,0.0,0.8778779012988699
9901,abstain_on_key_uncertainty,0.2611058823529395,0.753528773072747,0.24647122692725298,0.25882352941176473,0.0,0.0,0.8778779012988699
9901,active_probe,0.2866823529411723,0.7719869706840391,0.2280130293159609,0.2747058823529412,0.0,0.18352941176470589,0.9064551071812312
9901,oracle_key_audit_only,0.36463529411764894,0.8132464712269273,0.18675352877307275,0.28411764705882353,0.0,0.0,1.0
9902,hard_key_continuous,0.2733411764705865,0.7593643586833144,0.24063564131668558,0.26529411764705885,0.0,0.0,0.8864705882352941
9902,soft_probabilistic_key,0.24887058823529248,0.7446083995459705,0.25539160045402953,0.2529411764705882,0.0,0.0,0.88144755688662
9902,abstain_on_key_uncertainty,0.24887058823529248,0.7446083995459705,0.25539160045402953,0.2529411764705882,0.0,0.0,0.88144755688662
9902,active_probe,0.2994735294117609,0.7786606129398411,0.2213393870601589,0.25882352941176473,0.0,0.1676470588235294,0.9075724154839111
9902,oracle_key_audit_only,0.37498823529411995,0.8206583427922814,0.1793416572077185,0.2676470588235294,0.0,0.0,1.0
9903,hard_key_continuous,0.3116235294117634,0.7825112107623319,0.21748878923766815,0.25941176470588234,0.0,0.0,0.8817647058823529
9903,soft_probabilistic_key,0.30597647058823374,0.7791479820627802,0.22085201793721973,0.24588235294117647,0.0,0.0,0.879231908590774
9903,abstain_on_key_uncertainty,0.30597647058823374,0.7791479820627802,0.22085201793721973,0.24588235294117647,0.0,0.0,0.879231908590774
9903,active_probe,0.3526705882352953,0.8105381165919282,0.18946188340807174,0.25882352941176473,0.0,0.17176470588235293,0.9066298158306011
9903,oracle_key_audit_only,0.4226823529411805,0.8486547085201793,0.15134529147982062,0.2647058823529412,0.0,0.0,1.0
9904,hard_key_continuous,0.2934117647058803,0.771264367816092,0.22873563218390805,0.2564705882352941,0.0,0.0,0.8711764705882353
9904,soft_probabilistic_key,0.27082352941176274,0.7574712643678161,0.2425287356321839,0.24,0.0,0.0,0.8826784726065304
9904,abstain_on_key_uncertainty,0.27082352941176274,0.7574712643678161,0.2425287356321839,0.24,0.0,0.0,0.8826784726065304
9904,active_probe,0.33114705882352835,0.7977011494252874,0.20229885057471264,0.2535294117647059,0.0,0.1588235294117647,0.9086357689866281
9904,oracle_key_audit_only,0.4063529411764749,0.8402298850574713,0.15977011494252874,0.2529411764705882,0.0,0.0,1.0
9905,hard_key_continuous,0.2793411764705865,0.7633928571428571,0.23660714285714285,0.24705882352941178,0.0,0.0,0.8658823529411764
9905,soft_probabilistic_key,0.2680470588235277,0.7566964285714286,0.24330357142857142,0.23176470588235293,0.0,0.0,0.8802166411667047
9905,abstain_on_key_uncertainty,0.2680470588235277,0.7566964285714286,0.24330357142857142,0.23176470588235293,0.0,0.0,0.8802166411667047
9905,active_probe,0.3202852941176451,0.7912946428571429,0.20870535714285715,0.24411764705882352,0.0,0.17470588235294118,0.9073119465965762
9905,oracle_key_audit_only,0.3904000000000033,0.8292410714285714,0.17075892857142858,0.2488235294117647,0.0,0.0,1.0
9906,hard_key_continuous,0.2914588235294097,0.7696827262044653,0.23031727379553465,0.24352941176470588,0.0,0.0,0.8782352941176471
9906,soft_probabilistic_key,0.26887058823529214,0.7555816686251469,0.2444183313748531,0.22941176470588234,0.0,0.0,0.878124084442853
9906,abstain_on_key_uncertainty,0.26887058823529214,0.7555816686251469,0.2444183313748531,0.22941176470588234,0.0,0.0,0.878124084442853
9906,active_probe,0.3453735294117637,0.8072855464159812,0.1927144535840188,0.23411764705882354,0.0,0.18058823529411766,0.9059285244881099
9906,oracle_key_audit_only,0.39498823529411964,0.8343125734430082,0.16568742655699178,0.24294117647058824,0.0,0.0,1.0
9907,hard_key_continuous,0.2875999999999982,0.7679180887372014,0.23208191126279865,0.26705882352941174,0.0,0.0,0.8735294117647059
9907,soft_probabilistic_key,0.27442352941176285,0.7599544937428896,0.24004550625711035,0.2535294117647059,0.0,0.0,0.8804628243106889
9907,abstain_on_key_uncertainty,0.27442352941176285,0.7599544937428896,0.24004550625711035,0.2535294117647059,0.0,0.0,0.8804628243106889
9907,active_probe,0.3303852941176456,0.7974971558589306,0.2025028441410694,0.26705882352941174,0.0,0.17588235294117646,0.9086558390165764
9907,oracle_key_audit_only,0.4099529411764748,0.8418657565415245,0.15813424345847554,0.2664705882352941,0.0,0.0,1.0
9908,hard_key_continuous,0.303835294117645,0.7773851590106007,0.2226148409893993,0.26529411764705885,0.0,0.0,0.8794117647058823
9908,soft_probabilistic_key,0.296305882352939,0.7726737338044759,0.22732626619552415,0.24411764705882352,0.0,0.0,0.8772624434389142
9908,abstain_on_key_uncertainty,0.296305882352939,0.7726737338044759,0.22732626619552415,0.24411764705882352,0.0,0.0,0.8772624434389142
9908,active_probe,0.3294323529411743,0.7974087161366313,0.20259128386336867,0.25176470588235295,0.0,0.18294117647058825,0.906067449095031
9908,oracle_key_audit_only,0.39042352941176645,0.8315665488810365,0.1684334511189635,0.2570588235294118,0.0,0.0,1.0
9909,hard_key_continuous,0.27112941176470406,0.7586206896551724,0.2413793103448276,0.2541176470588235,0.0,0.0,0.8770588235294118
9909,soft_probabilistic_key,0.25983529411764533,0.7519466073414905,0.24805339265850945,0.23647058823529413,0.0,0.0,0.8831708388944978
9909,abstain_on_key_uncertainty,0.25983529411764533,0.7519466073414905,0.24805339265850945,0.23647058823529413,0.0,0.0,0.8831708388944978
9909,active_probe,0.3085970588235262,0.7842046718576196,0.21579532814238042,0.25,0.0,0.16647058823529412,0.9092733558628301
9909,oracle_key_audit_only,0.3633647058823544,0.8131256952169077,0.18687430478309233,0.2535294117647059,0.0,0.0,1.0
9910,hard_key_continuous,0.28397647058823366,0.7666303162486369,0.23336968375136313,0.2723529411764706,0.0,0.0,0.8770588235294118
9910,soft_probabilistic_key,0.2783294117647042,0.7633587786259542,0.2366412213740458,0.2564705882352941,0.0,0.0,0.8832939304664879
9910,abstain_on_key_uncertainty,0.2783294117647042,0.7633587786259542,0.2366412213740458,0.2564705882352941,0.0,0.0,0.8832939304664879
9910,active_probe,0.3272147058823509,0.7949836423118866,0.2050163576881134,0.2664705882352941,0.0,0.16294117647058823,0.9080150843126489
9910,oracle_key_audit_only,0.3799764705882373,0.822246455834242,0.1777535441657579,0.27647058823529413,0.0,0.0,1.0
9911,hard_key_continuous,0.2960941176470568,0.7729357798165137,0.22706422018348624,0.24176470588235294,0.0,0.0,0.8729411764705882
9911,soft_probabilistic_key,0.29609411764705684,0.7729357798165137,0.22706422018348624,0.2323529411764706,0.0,0.0,0.8772624434389151
9911,abstain_on_key_uncertainty,0.29609411764705684,0.7729357798165137,0.22706422018348624,0.2323529411764706,0.0,0.0,0.8772624434389151
9911,active_probe,0.32199999999999784,0.7924311926605505,0.20756880733944955,0.23411764705882354,0.0,0.17411764705882352,0.9058998868778361
9911,oracle_key_audit_only,0.41280000000000394,0.8440366972477065,0.1559633027522936,0.24529411764705883,0.0,0.0,1.0
9912,hard_key_continuous,0.31727058823529364,0.7858744394618834,0.2141255605381166,0.2464705882352941,0.0,0.0,0.8852941176470588
9912,soft_probabilistic_key,0.30221176470588074,0.7769058295964125,0.22309417040358745,0.2323529411764706,0.0,0.0,0.8800935495947143
9912,abstain_on_key_uncertainty,0.30221176470588074,0.7769058295964125,0.22309417040358745,0.2323529411764706,0.0,0.0,0.8800935495947143
9912,active_probe,0.35660000000000036,0.8127802690582959,0.18721973094170405,0.24411764705882352,0.0,0.16705882352941176,0.907282605024586
9912,oracle_key_audit_only,0.4076235294117682,0.8396860986547086,0.16031390134529147,0.24529411764705883,0.0,0.0,1.0
9913,hard_key_continuous,0.29797647058823346,0.7740825688073395,0.22591743119266056,0.26705882352941174,0.0,0.0,0.8841176470588236
9913,soft_probabilistic_key,0.2979764705882334,0.7740825688073395,0.22591743119266056,0.25176470588235295,0.0,0.0,0.8821861063185662
9913,abstain_on_key_uncertainty,0.2979764705882334,0.7740825688073395,0.22591743119266056,0.25176470588235295,0.0,0.0,0.8821861063185662
9913,active_probe,0.32989999999999803,0.7970183486238532,0.2029816513761468,0.2635294117647059,0.0,0.1635294117647059,0.9093081368615589
9913,oracle_key_audit_only,0.3883294117647084,0.8291284403669725,0.17087155963302753,0.27058823529411763,0.0,0.0,1.0
9914,hard_key_continuous,0.30696470588235175,0.7799564270152506,0.22004357298474944,0.2605882352941176,0.0,0.0,0.8823529411764706
9914,soft_probabilistic_key,0.3031999999999984,0.7777777777777778,0.2222222222222222,0.24529411764705883,0.0,0.0,0.8850172124743656
9914,abstain_on_key_uncertainty,0.3031999999999984,0.7777777777777778,0.2222222222222222,0.24529411764705883,0.0,0.0,0.8850172124743656
9914,active_probe,0.3447823529411757,0.8050108932461874,0.19498910675381265,0.2647058823529412,0.0,0.1564705882352941,0.9098544579494858
9914,oracle_key_audit_only,0.3973176470588272,0.8322440087145969,0.16775599128540306,0.27,0.0,0.0,1.0
9915,hard_key_continuous,0.29595294117646886,0.7735229759299781,0.22647702407002188,0.25470588235294117,0.0,0.0,0.8752941176470588
9915,soft_probabilistic_key,0.2903058823529394,0.7702407002188184,0.22975929978118162,0.2388235294117647,0.0,0.0,0.8772624434389127
9915,abstain_on_key_uncertainty,0.2903058823529394,0.7702407002188184,0.22975929978118162,0.2388235294117647,0.0,0.0,0.8772624434389127
9915,active_probe,0.3289352941176448,0.7964989059080962,0.20350109409190373,0.24352941176470588,0.0,0.18705882352941178,0.9062651300905057
9915,oracle_key_audit_only,0.39760000000000273,0.8326039387308534,0.1673960612691466,0.2511764705882353,0.0,0.0,1.0
9916,hard_key_continuous,0.28207058823529224,0.7647058823529411,0.23529411764705882,0.26588235294117646,0.0,0.0,0.8805882352941177
9916,soft_probabilistic_key,0.2594823529411747,0.751131221719457,0.248868778280543,0.24588235294117647,0.0,0.0,0.8835401136104716
9916,abstain_on_key_uncertainty,0.2594823529411747,0.751131221719457,0.248868778280543,0.24588235294117647,0.0,0.0,0.8835401136104716
9916,active_probe,0.295047058823526,0.7760180995475113,0.2239819004524887,0.26823529411764707,0.0,0.16705882352941176,0.9108486543344602
9916,oracle_key_audit_only,0.36489411764706003,0.8144796380090498,0.18552036199095023,0.26705882352941174,0.0,0.0,1.0
