seed,model,final_ethical_reliability,final_third_factor_volition,final_integration,final_ideal_alignment,final_H_self,decision_accuracy,high_stakes_accuracy,long_term_trajectory_value,external_capture_rate,successful_reorganization_rate,early_R_gain,late_R_gain
12200,perception_only,0.5,0.22,0.3,0.38,0.66,0.43027777777777776,0.43577135832821146,-0.07972222222222222,0.7139013452914799,0.0,-0.04800000000000004,-0.00377999478333102
12200,autonomy_only,0.94,0.95,0.3,0.38,0.66,0.5441666666666667,0.5391566265060241,0.1053333333333366,0.31569817866435385,0.0,-0.047626371777754195,0.0785869115365847
12200,selfactualization_loop,0.5,0.6791562791571347,0.95,0.9298477133186387,0.9,0.5127777777777778,0.5,0.042411111111110636,0.33444537114261885,0.43767160900604063,-0.04345252544773115,0.0
12201,perception_only,0.5279921566573228,0.22,0.3,0.38,0.66,0.42583333333333334,0.42634730538922155,-0.1063888888888889,0.7156276686592656,0.0,-0.035202329370475405,0.015398642210482927
12201,autonomy_only,0.9348,0.95,0.3,0.38,0.66,0.5230555555555556,0.5220729366602687,0.09504722222222281,0.32646048109965636,0.0,-0.04764385727729459,0.3277643327959413
12201,selfactualization_loop,0.5008099298414225,0.6845345864567601,0.95,0.9317102814114124,0.8991474422721869,0.5075,0.5038898862956314,0.03301944444444402,0.3383128295254833,0.4337090713902308,-0.048229525177167276,-9.420893973666189e-05
12202,perception_only,0.528713411029933,0.22,0.3,0.38,0.66,0.4508333333333333,0.4696331930246542,-0.03916666666666667,0.7136524822695035,0.0,-0.042330178223590975,0.0031068786791758063
12202,autonomy_only,0.9386,0.95,0.3,0.38,0.66,0.5205555555555555,0.5189644792293799,0.06282499999999965,0.33184656556645853,0.0,-0.02488324219679816,0.3248884059888597
12202,selfactualization_loop,0.500861100979501,0.6755581157009151,0.95,0.9264138953209996,0.8721092041246841,0.5041666666666667,0.5105985037406484,0.05468888888888855,0.3561278863232682,0.41491002570694085,-0.047429252497977026,-0.004095293598110672
12203,perception_only,0.5135547901394982,0.22,0.3,0.38,0.66,0.44222222222222224,0.46183450930083386,-0.02388888888888889,0.7015926236378877,0.0,-0.04093779688043109,-0.010899637991158673
12203,autonomy_only,0.9162,0.95,0.3,0.38,0.66,0.5352777777777777,0.5407225964482547,0.10500277777777953,0.3290155440414508,0.0,-0.039948171651732034,0.21538161833587222
12203,selfactualization_loop,0.5,0.6396998083697674,0.95,0.9255766697943126,0.9,0.48694444444444446,0.5003043213633597,0.017141666666666337,0.36246786632390743,0.4484629294755877,-0.02449782911812526,-0.0023855813024725725
12204,perception_only,0.503992,0.22,0.3,0.38,0.66,0.44333333333333336,0.44216867469879517,-0.07111111111111111,0.6914986853637161,0.0,-0.04600800000000005,0.0039919999999999956
12204,autonomy_only,0.8549300615451407,0.95,0.3,0.38,0.66,0.5066666666666667,0.4990677439403356,0.04548055555555505,0.359792924935289,0.0,-0.038738137101166914,0.3118000000000052
12204,selfactualization_loop,0.5,0.6856882061273402,0.95,0.9253633967054166,0.9,0.4955555555555556,0.5027658266748617,0.03255277777777732,0.34962089300758215,0.4153846153846154,-0.04775799884439902,0.0
12205,perception_only,0.504976079872,0.22,0.3,0.38,0.66,0.4463888888888889,0.44549464398235666,-0.0425,0.6951013513513513,0.0,-0.049845683215055225,0.002035633596930153
12205,autonomy_only,0.9369999999999999,0.95,0.3,0.38,0.66,0.5216666666666666,0.5334928229665071,0.07439999999999979,0.33855526544821585,0.0,-0.020900802306347277,0.16721502580040537
12205,selfactualization_loop,0.5,0.727645669467318,0.95,0.9355599320296768,0.8385976712754578,0.5022222222222222,0.4960341671751068,0.02967499999999952,0.33595113438045376,0.4638619201725998,-0.018514114458156317,-0.005863480988234637
