seed,policy,long_term_trajectory_value,high_risk_accuracy,irreversible_violation_rate,deep_path_activation_rate,probe_rate,low_risk_opportunity_cost
10100,hard_key_continuous,0.28619999999999846,0.7669902912621359,0.23300970873786409,0.2677777777777778,0.0,0.0
10100,threshold_probe_v245,0.32465555555555436,0.7939590075512406,0.20604099244875945,0.2627777777777778,0.1711111111111111,0.0
10100,voi_probe,0.31841111111111037,0.7885652642934197,0.21143473570658036,0.26222222222222225,0.09555555555555556,0.0
10100,always_probe_high_risk,0.30906388888888436,0.7918015102481122,0.20819848975188782,0.2594444444444444,0.515,0.0
10100,oracle_key_audit_only,0.39464444444444785,0.8327939590075513,0.16720604099244876,0.26611111111111113,0.0,0.0
10101,hard_key_continuous,0.34164444444444514,0.8004246284501062,0.19957537154989385,0.27,0.0,0.0
10101,threshold_probe_v245,0.34833333333333355,0.807855626326964,0.1921443736730361,0.26944444444444443,0.16444444444444445,0.0
10101,voi_probe,0.3527944444444457,0.8089171974522293,0.1910828025477707,0.27,0.08777777777777777,0.0
10101,always_probe_high_risk,0.3322166666666649,0.8057324840764332,0.1942675159235669,0.2683333333333333,0.5233333333333333,0.0
10101,oracle_key_audit_only,0.39142222222222506,0.8301486199575372,0.16985138004246284,0.2733333333333333,0.0,0.0
10102,hard_key_continuous,0.2697333333333316,0.7578616352201258,0.24213836477987422,0.2688888888888889,0.0,0.0
10102,threshold_probe_v245,0.3133083333333329,0.7872117400419287,0.21278825995807127,0.2644444444444444,0.17722222222222223,0.0
10102,voi_probe,0.3177305555555559,0.7882599580712788,0.21174004192872117,0.265,0.10166666666666667,0.0
10102,always_probe_high_risk,0.288516666666659,0.779874213836478,0.22012578616352202,0.25722222222222224,0.53,0.0
10102,oracle_key_audit_only,0.3906222222222262,0.8291404612159329,0.1708595387840671,0.2677777777777778,0.0,0.0
10103,hard_key_continuous,0.31560000000000027,0.7847682119205298,0.2152317880794702,0.24888888888888888,0.0,0.0
