seed,model,irreversible_recall,reversible_recall,critical_precision,false_alarm_rate,review_trigger_rate,irreversible_core_violation_rate,reversible_miss_rate,net_vigilance_value,long_term_trajectory_value,final_threshold_irreversible,final_threshold_reversible
15000,fixed_threshold,0.6619433198380567,0.6043478260869565,0.4831168831168831,0.1206060606060606,0.23333333333333334,0.41295546558704455,0.4434782608695652,0.6385721454746626,0.6758848484848459,0.58,0.58
15000,global_recall_constrained,0.8116883116883117,0.794392523364486,0.3215843023255814,0.2828787878787879,0.416969696969697,0.28354978354978355,0.3099688473520249,0.705477043010601,0.746132121212125,0.3,0.3
15000,hierarchical_recall_constrained,0.8674698795180723,0.6002886002886003,0.3944186046511628,0.19727272727272727,0.32575757575757575,0.2248995983935743,0.4733044733044733,0.7229882055555354,0.7348939393939408,0.28,0.28
15000,severity_weighted_hierarchical,0.8118609406952966,0.45821325648414984,0.37770734284204965,0.1784848484848485,0.2868181818181818,0.2985685071574642,0.590778097982709,0.6644381644797668,0.6784693939393944,0.42,0.6
15001,fixed_threshold,0.6721915285451197,0.5958395245170877,0.4938749194068343,0.11893939393939394,0.235,0.430939226519337,0.4784546805349183,0.6405434939507826,0.6431039393939362,0.58,0.58
15001,global_recall_constrained,0.8503937007874016,0.7648725212464589,0.3411723411723412,0.2843939393939394,0.43166666666666664,0.25196850393700787,0.3130311614730878,0.7230192454484441,0.7403506060606104,0.3,0.3
15001,hierarchical_recall_constrained,0.8693877551020408,0.6031518624641834,0.39267501159017154,0.1984848484848485,0.32681818181818184,0.23673469387755103,0.46418338108882523,0.7221894001777578,0.7324548484848513,0.28,0.74
15001,severity_weighted_hierarchical,0.8259109311740891,0.5112676056338028,0.3984496124031008,0.17636363636363636,0.29318181818181815,0.2834008097165992,0.5507042253521127,0.685304729744256,0.6911681818181815,0.42,0.6
15002,fixed_threshold,0.685823754789272,0.5765230312035661,0.4946949602122016,0.11545454545454545,0.22848484848484849,0.39846743295019155,0.5096582466567607,0.6476148550987307,0.6598921212121194,0.58,0.58
15002,global_recall_constrained,0.8538011695906432,0.7688953488372093,0.33564734467198887,0.29,0.4365151515151515,0.24171539961013644,0.3226744186046512,0.7249850498290541,0.7424342424242442,0.5940000000000002,0.5940000000000002
15002,hierarchical_recall_constrained,0.8661417322834646,0.6047904191616766,0.38276643990929704,0.2062121212121212,0.3340909090909091,0.2421259842519685,0.47005988023952094,0.7179185064072451,0.728080303030304,0.28,0.74
15002,severity_weighted_hierarchical,0.8116760828625236,0.46074074074074073,0.3876698014629049,0.17757575757575758,0.29,0.295668549905838,0.6029629629629629,0.6669282468164993,0.6696975757575756,0.42,0.6
15003,fixed_threshold,0.6737864077669903,0.6184573002754821,0.500943989930774,0.12015151515151515,0.24075757575757575,0.40388349514563104,0.4669421487603306,0.6500260444067366,0.6602354545454526,0.58,0.58
15003,global_recall_constrained,0.8356997971602435,0.7792022792022792,0.3593106032221806,0.2590909090909091,0.4043939393939394,0.26369168356997974,0.30626780626780625,0.7240182808453504,0.7461566666666691,0.4500000000000001,0.4500000000000001
15003,hierarchical_recall_constrained,0.8223140495867769,0.6099865047233468,0.4065040650406504,0.18803030303030302,0.31681818181818183,0.2975206611570248,0.47638326585695007,0.6995473121657975,0.6986857575757582,0.28,0.74
15003,severity_weighted_hierarchical,0.8510204081632653,0.4820359281437126,0.39225053078556266,0.1734848484848485,0.28545454545454546,0.2673469387755102,0.5808383233532934,0.6916879620101112,0.7011248484848488,0.42,0.6
15004,fixed_threshold,0.6553911205073996,0.5988286969253295,0.48125836680053546,0.11742424242424243,0.22636363636363635,0.42283298097251587,0.4816983894582723,0.6336594259105436,0.6718915151515131,0.58,0.58
15004,global_recall_constrained,0.8382066276803118,0.7774647887323943,0.36587183308494786,0.2578787878787879,0.4066666666666667,0.2651072124756335,0.3056338028169014,0.7257053420455042,0.7401854545454571,0.72,0.72
15004,hierarchical_recall_constrained,0.8709016393442623,0.6054131054131054,0.3851381966470322,0.2056060606060606,0.3343939393939394,0.23155737704918034,0.4700854700854701,0.7218663661159765,0.7314700000000013,0.28,0.5440000000000005
15004,severity_weighted_hierarchical,0.8368121442125237,0.48153214774281805,0.39218595450049454,0.18621212121212122,0.30636363636363634,0.2846299810246679,0.5923392612859097,0.6819567451098878,0.6646503030303035,0.42,0.6
15005,fixed_threshold,0.653179190751445,0.5962643678160919,0.4880258899676375,0.11984848484848484,0.2340909090909091,0.43159922928709055,0.47270114942528735,0.6318776946202856,0.6494803030302992,0.58,0.58
15005,global_recall_constrained,0.8349705304518664,0.776595744680851,0.35135135135135137,0.26181818181818184,0.4036363636363636,0.26719056974459726,0.3161094224924012,0.7211668008570906,0.7427127272727313,0.33299999999999996,0.33299999999999996
15005,hierarchical_recall_constrained,0.8404907975460123,0.6061493411420205,0.3787878787878788,0.205,0.33,0.278118609406953,0.49633967789165445,0.702372655713056,0.7074709090909096,0.28,0.74
15005,severity_weighted_hierarchical,0.8401639344262295,0.47353361945636624,0.3807810894141829,0.18257575757575759,0.29484848484848486,0.2786885245901639,0.5908440629470673,0.6813011152271932,0.685538787878789,0.42,0.6
15006,fixed_threshold,0.6458752515090543,0.56973293768546,0.4916317991631799,0.11045454545454546,0.21727272727272728,0.44466800804828976,0.49851632047477745,0.6240550506718074,0.6517763636363616,0.58,0.58
15006,global_recall_constrained,0.822,0.7858197932053176,0.3387212643678161,0.27893939393939393,0.4218181818181818,0.27,0.32791728212703103,0.7131702378030804,0.7348521212121237,0.3,0.3
15006,hierarchical_recall_constrained,0.8392156862745098,0.6055718475073314,0.3995249406175772,0.19151515151515153,0.31893939393939397,0.2784313725490196,0.47214076246334313,0.706650987221255,0.7110500000000007,0.28,0.74
15006,severity_weighted_hierarchical,0.846441947565543,0.4652482269503546,0.4157782515991471,0.16606060606060605,0.28424242424242424,0.2640449438202247,0.5858156028368794,0.6919524152710405,0.6844448484848475,0.42,0.6
15007,fixed_threshold,0.6634429400386848,0.5774058577405857,0.4941253263707572,0.11742424242424243,0.23212121212121212,0.43520309477756286,0.4909344490934449,0.6333509402683326,0.6407199999999968,0.58,0.58
15007,global_recall_constrained,0.821656050955414,0.7879234167893961,0.3387215282880235,0.2727272727272727,0.4124242424242424,0.2908704883227176,0.31516936671575846,0.7112349388378876,0.7373169696969712,0.44999999999999973,0.44999999999999973
15007,hierarchical_recall_constrained,0.8620689655172413,0.6100981767180925,0.38320330426801286,0.20363636363636364,0.33015151515151514,0.24568965517241378,0.4600280504908836,0.7171248713385338,0.7317415151515165,0.28,0.74
15007,severity_weighted_hierarchical,0.8131021194605009,0.4785100286532951,0.3939551849921834,0.1762121212121212,0.29075757575757577,0.3140655105973025,0.5716332378223495,0.6692908565114659,0.6674142424242412,0.42,0.6
15008,fixed_threshold,0.6544789762340036,0.5735294117647058,0.4773452456924059,0.12409090909090909,0.23742424242424243,0.40585009140767825,0.5102941176470588,0.6296922020340494,0.6438578787878763,0.58,0.58
15008,global_recall_constrained,0.8130081300813008,0.7931570762052877,0.3382899628252788,0.2696969696969697,0.4075757575757576,0.3089430894308943,0.2954898911353033,0.7064822509175551,0.7330818181818215,0.3,0.3
15008,hierarchical_recall_constrained,0.8180039138943248,0.6102941176470589,0.38979878334113244,0.19757575757575757,0.3237878787878788,0.30919765166340507,0.48823529411764705,0.6924255499268142,0.6915881818181814,0.28,0.74
15008,severity_weighted_hierarchical,0.8503937007874016,0.4853801169590643,0.4070324986680874,0.16863636363636364,0.2843939393939394,0.24606299212598426,0.5745614035087719,0.6979659186204848,0.7057457575757574,0.42,0.6
15009,fixed_threshold,0.6607843137254902,0.5735294117647058,0.4833776595744681,0.11772727272727272,0.22787878787878788,0.4117647058823529,0.4970588235294118,0.6331151135889559,0.6594460606060584,0.58,0.58
15009,global_recall_constrained,0.8421052631578947,0.7732732732732732,0.35152190051967336,0.2646969696969697,0.4081818181818182,0.2631578947368421,0.3228228228228228,0.7236690569087005,0.740436969696972,0.4380000000000001,0.4380000000000001
15009,hierarchical_recall_constrained,0.8603238866396761,0.6072463768115942,0.37544483985765126,0.21272727272727274,0.3406060606060606,0.25303643724696356,0.4623188405797101,0.712552702917334,0.7230496969696991,0.28,0.74
15009,severity_weighted_hierarchical,0.8095238095238095,0.49201741654571846,0.37628865979381443,0.18333333333333332,0.29393939393939394,0.31262939958592134,0.5718432510885341,0.6668107284127345,0.6786727272727281,0.42,0.6
