seed,model,phase1_external_reward,phase2_external_reward,phase1_core_accuracy,phase2_core_accuracy,final_third_factor_volition,final_ethical_reliability,final_integration,final_ideal_alignment,final_H_self,phase2_reward_capture_rate,developmental_transfer_score,long_term_trajectory_value
12900,success_fed_thirdfactor,0.9672,1.0,0.7528,0.4292,0.95,0.8980000000000341,0.32,0.4,0.64,0.5708,0.38968,0.1333959999999918
12900,ethicalsense_plus_idealgap,0.5328,0.4844,0.582,0.6084,0.4921996127874946,0.9378785278801753,0.8928426267250892,0.91555836405258,0.30782570501367634,0.2316,0.7706442606061115,0.14365799999999856
12900,hybrid_reward_and_ethics,0.5336,0.4916,0.5716,0.5616,0.95,0.7346945475917187,0.8661746747567712,0.8915572072810953,0.31229519514593673,0.244,0.7433599574997376,0.09622299999999459
12901,static_baseline,0.4764,0.5076,0.4556,0.448,0.24,0.56,0.32,0.4,0.64,0.3056,0.42184,-0.1325200000000009
12901,success_fed_thirdfactor,0.97,1.0,0.7476,0.4412,0.95,0.9280000000000186,0.32,0.4,0.64,0.5588,0.39447999999999994,0.14926999999998916
12901,ethicalsense_plus_idealgap,0.5448,0.4832,0.5688,0.6132,0.4823285679436849,0.9356158003861248,0.8924000858054768,0.9151600772249296,0.30324421532746093,0.2148,0.7742634041682086,0.13116099999999847
12901,hybrid_reward_and_ethics,0.5152,0.494,0.5496,0.5536,0.95,0.7348121104484316,0.8664249587114438,0.8917824628403005,0.31214502477313383,0.2512,0.7403688537363937,0.0678619999999969
12902,static_baseline,0.4836,0.5,0.472,0.4552,0.24,0.56,0.32,0.4,0.64,0.3012,0.42444,-0.12908000000000067
12902,success_fed_thirdfactor,0.9724,1.0,0.7576,0.4448,0.95,0.931500000000009,0.32,0.4,0.64,0.5552,0.39592,0.16423499999998245
12902,ethicalsense_plus_idealgap,0.5344,0.4796,0.5288,0.6064,0.4851124714922939,0.94,0.8936476339754855,0.9162828705779364,0.30363812856575834,0.2144,0.7727345251547175,0.10730799999999824
12902,hybrid_reward_and_ethics,0.524,0.4952,0.5384,0.5656,0.95,0.7347851901519855,0.8663673062917319,0.8917305756625585,0.3121796162249608,0.2332,0.7457391627402419,0.045472000000001206
12903,static_baseline,0.4728,0.5224,0.4312,0.4484,0.24,0.56,0.32,0.4,0.64,0.3128,0.42124,-0.1308800000000013
12903,success_fed_thirdfactor,0.9736,1.0,0.7516,0.4304,0.95,0.9275000000000188,0.32,0.4,0.64,0.5696,0.39016,0.13277499999999215
12903,ethicalsense_plus_idealgap,0.5128,0.4692,0.5584,0.6088,0.4830113381897136,0.94,0.8930110632495637,0.9157099569246068,0.3030968184952055,0.214,0.7733051791067836,0.12099499999999762
12903,hybrid_reward_and_ethics,0.5276,0.4844,0.5388,0.5592,0.95,0.7348390795138398,0.8664697365647115,0.8918227629082409,0.3121181580611728,0.244,0.7427919143308267,0.0602330000000003
12904,static_baseline,0.4612,0.504,0.4516,0.46,0.24,0.56,0.32,0.4,0.64,0.2972,0.42628000000000005,-0.1183999999999997
12904,success_fed_thirdfactor,0.9636,1.0,0.7392,0.43,0.95,0.9235000000000021,0.32,0.4,0.64,0.57,0.39,0.12656999999999724
12904,ethicalsense_plus_idealgap,0.5264,0.5068,0.5672,0.6104,0.48882332974741466,0.94,0.8927725188259151,0.9154952669433245,0.30619364981297464,0.2252,0.7720992730290679,0.12847899999999957
12904,hybrid_reward_and_ethics,0.5304,0.4772,0.5412,0.5716,0.95,0.7347644266956963,0.8663213991850817,0.891689259266573,0.31220716048895114,0.2364,0.7471955205803169,0.06270200000000099
12905,static_baseline,0.47,0.5016,0.4564,0.4536,0.24,0.56,0.32,0.4,0.64,0.3068,0.4234,-0.14736000000000227
12905,success_fed_thirdfactor,0.9688,1.0,0.7324,0.446,0.95,0.9230000000000023,0.32,0.4,0.64,0.554,0.3964,0.11993300000000154
