seed,model,ethical_detection_accuracy,transformation_decision_accuracy,false_consolidation_rate,anti_core_capture_rate,overall_component_score
13400,full_loop,0.7745454545454545,0.8059090909090909,0.10636363636363637,0.08318181818181818,0.8406136363636364
13400,ablate_ethicalsense,0.6177272727272727,0.7681818181818182,0.09090909090909091,0.08681818181818182,0.7872727272727273
13400,ablate_idealgap,0.76,0.6359090909090909,0.09954545454545455,0.09181818181818181,0.7937272727272726
13400,ablate_shadow_validation,0.7627272727272727,0.7809090909090909,0.3513636363636364,0.10272727272727272,0.7656590909090909
13400,ablate_core_constraint,0.7654545454545455,0.7813636363636364,0.09,0.2718181818181818,0.7981136363636364
13401,full_loop,0.7804545454545454,0.7981818181818182,0.09272727272727273,0.08272727272727273,0.8439545454545454
13401,ablate_ethicalsense,0.6195454545454545,0.769090909090909,0.09363636363636364,0.09636363636363636,0.7854545454545454
13401,ablate_idealgap,0.769090909090909,0.6236363636363637,0.10818181818181818,0.09227272727272727,0.7911363636363636
13401,ablate_shadow_validation,0.7818181818181819,0.7854545454545454,0.3409090909090909,0.09318181818181819,0.7770454545454546
13401,ablate_core_constraint,0.7759090909090909,0.7763636363636364,0.09136363636363637,0.2690909090909091,0.8002045454545454
13402,full_loop,0.7827272727272727,0.7586363636363637,0.105,0.08772727272727272,0.8306818181818182
13402,ablate_ethicalsense,0.610909090909091,0.7822727272727272,0.10363636363636364,0.09909090909090909,0.7831136363636364
13402,ablate_idealgap,0.7654545454545455,0.6259090909090909,0.08272727272727273,0.08590909090909091,0.7982499999999999
13402,ablate_shadow_validation,0.785,0.7818181818181819,0.31636363636363635,0.08772727272727272,0.7843181818181818
13402,ablate_core_constraint,0.7577272727272727,0.7818181818181819,0.09545454545454546,0.2690909090909091,0.7950909090909091
13403,full_loop,0.7845454545454545,0.7840909090909091,0.08681818181818182,0.07318181818181818,0.8450454545454545
13403,ablate_ethicalsense,0.6263636363636363,0.7768181818181819,0.0959090909090909,0.09272727272727273,0.7895909090909091
13403,ablate_idealgap,0.7645454545454545,0.639090909090909,0.09272727272727273,0.09318181818181819,0.7973181818181818
13403,ablate_shadow_validation,0.7818181818181819,0.7713636363636364,0.33590909090909093,0.09636363636363636,0.7741363636363636
13403,ablate_core_constraint,0.7613636363636364,0.7818181818181819,0.08545454545454545,0.24818181818181817,0.8028636363636363
13404,full_loop,0.785,0.7936363636363636,0.10227272727272728,0.07954545454545454,0.8424318181818182
13404,ablate_ethicalsense,0.6163636363636363,0.7872727272727272,0.08136363636363636,0.09454545454545454,0.7924772727272728
13404,ablate_idealgap,0.7654545454545455,0.6322727272727273,0.09636363636363636,0.09545454545454546,0.7945227272727273
13404,ablate_shadow_validation,0.7581818181818182,0.7968181818181819,0.33545454545454545,0.07863636363636364,0.7770681818181818
13404,ablate_core_constraint,0.7559090909090909,0.7777272727272727,0.095,0.26272727272727275,0.794909090909091
13405,full_loop,0.7786363636363637,0.7886363636363637,0.08636363636363636,0.08318181818181818,0.8425227272727274
13405,ablate_ethicalsense,0.6209090909090909,0.774090909090909,0.095,0.08409090909090909,0.7892272727272728
13405,ablate_idealgap,0.7754545454545455,0.6263636363636363,0.09227272727272727,0.09409090909090909,0.7973409090909092
13405,ablate_shadow_validation,0.7718181818181818,0.7813636363636364,0.3368181818181818,0.10181818181818182,0.7723181818181819
13405,ablate_core_constraint,0.7804545454545454,0.7886363636363637,0.09,0.2590909090909091,0.8069772727272727
13406,full_loop,0.7886363636363637,0.7959090909090909,0.09909090909090909,0.0809090909090909,0.8446136363636363
13406,ablate_ethicalsense,0.6086363636363636,0.79,0.09181818181818181,0.08954545454545454,0.7892272727272727
13406,ablate_idealgap,0.7695454545454545,0.6368181818181818,0.09136363636363637,0.09681818181818182,0.7978636363636364
13406,ablate_shadow_validation,0.7745454545454545,0.7822727272727272,0.3322727272727273,0.09681818181818182,0.7755000000000001
13406,ablate_core_constraint,0.764090909090909,0.7813636363636364,0.08954545454545454,0.26545454545454544,0.7990909090909091
13407,full_loop,0.7922727272727272,0.8022727272727272,0.1009090909090909,0.08045454545454546,0.8469318181818182
